player_id,draft_year,horizon_years,outcome_through,nhl_games,nhl_points,nhl_toi_minutes,goalie_starts,value_proxy,source,source_id,source_url
2017-052-luke-martin,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480050,https://api-web.nhle.com/v1/player/8480050/landing
2017-053-jack-studnicka,2017,3,2020-06-30,2,1,24.3,0,,nhl_public_api,8480021,https://api-web.nhle.com/v1/player/8480021/landing
2017-054-ukko-pekka-luukkonen,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480045,https://api-web.nhle.com/v1/player/8480045/landing
2017-055-jonah-gadjovich,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8479981,https://api-web.nhle.com/v1/player/8479981/landing
2017-056-josh-brook,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8479990,https://api-web.nhle.com/v1/player/8479990/landing
2017-057-ian-mitchell,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480070,https://api-web.nhle.com/v1/player/8480070/landing
2017-058-joni-ikonen,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480038,https://api-web.nhle.com/v1/player/8480038/landing
2017-059-eemeli-rasanen,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480010,https://api-web.nhle.com/v1/player/8480010/landing
2017-060-antoine-morand,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480030,https://api-web.nhle.com/v1/player/8480030/landing
2017-061-grant-mismash,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480061,https://api-web.nhle.com/v1/player/8480061/landing
2017-062-jake-leschyshyn,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8479991,https://api-web.nhle.com/v1/player/8479991/landing
2017-063-fabian-zetterlund,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480188,https://api-web.nhle.com/v1/player/8480188/landing
2017-064-michael-dipietro,2017,3,2020-06-30,2,0,68.4,1,,nhl_public_api,8480022,https://api-web.nhle.com/v1/player/8480022/landing
2017-065-jonas-rondbjerg,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480007,https://api-web.nhle.com/v1/player/8480007/landing
2017-066-max-gildon,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480059,https://api-web.nhle.com/v1/player/8480059/landing
2017-067-morgan-geekie,2017,3,2020-06-30,2,4,23.6,0,,nhl_public_api,8479987,https://api-web.nhle.com/v1/player/8479987/landing
2017-068-scott-walford,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480189,https://api-web.nhle.com/v1/player/8480189/landing
2017-069-mackenzie-entwistle,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480025,https://api-web.nhle.com/v1/player/8480025/landing
2017-070-andrei-altybarmakian,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480190,https://api-web.nhle.com/v1/player/8480190/landing
2017-071-kasper-kotkansalo,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480000,https://api-web.nhle.com/v1/player/8480000/landing
2017-072-matt-villalta,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480191,https://api-web.nhle.com/v1/player/8480191/landing
2017-073-stelio-mattheos,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8479989,https://api-web.nhle.com/v1/player/8479989/landing
2017-074-johnathan-kovacevic,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480192,https://api-web.nhle.com/v1/player/8480192/landing
2017-075-nate-schnarr,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480026,https://api-web.nhle.com/v1/player/8480026/landing
2017-076-alexey-lipanov,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480047,https://api-web.nhle.com/v1/player/8480047/landing
2017-077-benjamin-mirageas,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480055,https://api-web.nhle.com/v1/player/8480055/landing
2017-078-stuart-skinner,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8479973,https://api-web.nhle.com/v1/player/8479973/landing
2017-079-lane-zablocki,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8479988,https://api-web.nhle.com/v1/player/8479988/landing
2017-080-kirill-ustimenko,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480279,https://api-web.nhle.com/v1/player/8480279/landing
2017-081-reilly-walsh,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480054,https://api-web.nhle.com/v1/player/8480054/landing
2017-082-cameron-crotty,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480075,https://api-web.nhle.com/v1/player/8480075/landing
2017-083-zach-gallant,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api_no_landing,draft:2017-83:no-nhl-landing,https://search.d3.nhle.com/api/v1/search/player?culture=en-us&limit=10&q=Zach%20Gallant
2017-084-dmitri-samorukov,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480041,https://api-web.nhle.com/v1/player/8480041/landing
2017-085-ivan-lodnia,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480020,https://api-web.nhle.com/v1/player/8480020/landing
2017-086-daniil-tarasov,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480193,https://api-web.nhle.com/v1/player/8480193/landing
2017-087-cale-fleury,2017,3,2020-06-30,41,1,588.4,0,,nhl_public_api,8479985,https://api-web.nhle.com/v1/player/8479985/landing
2017-088-keith-petruzzelli,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8479975,https://api-web.nhle.com/v1/player/8479975/landing
2017-089-oskari-laaksonen,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480194,https://api-web.nhle.com/v1/player/8480194/landing
2017-090-evan-barratt,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480066,https://api-web.nhle.com/v1/player/8480066/landing
2017-091-jack-badini,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480195,https://api-web.nhle.com/v1/player/8480195/landing
2017-092-david-farrance,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480063,https://api-web.nhle.com/v1/player/8480063/landing
2017-093-clayton-phillips,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480052,https://api-web.nhle.com/v1/player/8480052/landing
2017-094-nick-henry,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8479997,https://api-web.nhle.com/v1/player/8479997/landing
