player_id,season,league,team,games,goals,assists,points,age,timing,regular_season,source,source_id,source_url,goalie_minutes,shots_against,saves,goals_against,save_percentage,goals_against_average,wins,losses,ties,shutouts
2024-017-terik-parascak,2023-24,WHL,PG,68,43,62,105,,pre_draft,true,chl,29272,https://chl.ca/whl/stats/players/281/all/points,,,,,,,,,,
2024-018-sacha-boisvert,2023-24,USHL,MUS,8,0,3,3,,pre_draft,false,ushl,9719,https://ushl.com/ht/#/player/9719/84/Sacha%20Boisvert,,,,,,,,,,
2024-018-sacha-boisvert,2023-24,USHL,MUS,61,36,32,68,,pre_draft,true,ushl,9719,https://ushl.com/ht/#/player/9719/82/Sacha%20Boisvert,,,,,,,,,,
2024-019-trevor-connelly,2023-24,USHL,TC,52,31,47,78,,pre_draft,true,ushl,9775,https://ushl.com/ht/#/player/9775/82/Trevor%20Connelly,,,,,,,,,,
2024-020-cole-eiserman,2023-24,USHL,NTDP,24,25,9,34,,pre_draft,true,ushl,9884,https://ushl.com/ht/#/player/9884/82/Cole%20Eiserman,,,,,,,,,,
2024-021-michael-hage,2023-24,USHL,CHI,2,2,2,4,,pre_draft,false,ushl,9629,https://ushl.com/ht/#/player/9629/84/Michael%20Hage,,,,,,,,,,
2024-021-michael-hage,2023-24,USHL,CHI,54,33,42,75,,pre_draft,true,ushl,9629,https://ushl.com/ht/#/player/9629/82/Michael%20Hage,,,,,,,,,,
2024-022-egor-surin,2023-24,KHL,Lokomotiv Yaroslavl,3,0,0,0,,pre_draft,true,open-stats,2024-khl-regular-egor-surin,https://media.nhl.com/site/asset/public/ext/2023-24/2024NHLDraft_ProspectProfiles.pdf#page=46,,,,,,,,,,
2024-022-egor-surin,2023-24,MHL,Loko Yaroslavl,19,5,18,23,,pre_draft,false,open-stats,2024-mhl-playoffs-egor-surin,https://media.nhl.com/site/asset/public/ext/2023-24/2024NHLDraft_ProspectProfiles.pdf#page=46,,,,,,,,,,
2024-022-egor-surin,2023-24,MHL,Loko Yaroslavl,42,22,30,52,,pre_draft,true,open-stats,2024-mhl-regular-egor-surin,https://media.nhl.com/site/asset/public/ext/2023-24/2024NHLDraft_ProspectProfiles.pdf#page=46,,,,,,,,,,
2024-024-cole-beaudoin,2023-24,OHL,BAR,6,2,3,5,,pre_draft,false,chl,8761,https://chl.ca/ohl/stats/players/77/all/points,,,,,,,,,,
2024-024-cole-beaudoin,2023-24,OHL,BAR,67,28,34,62,,pre_draft,true,chl,8761,https://chl.ca/ohl/stats/players/76/all/points,,,,,,,,,,
2024-026-liam-greentree,2023-24,OHL,WSR,64,36,54,90,,pre_draft,true,chl,8709,https://chl.ca/ohl/stats/players/76/all/points,,,,,,,,,,
2024-027-marek-vanacker,2023-24,OHL,BFD,6,3,4,7,,pre_draft,false,chl,8752,https://chl.ca/ohl/stats/players/77/all/points,,,,,,,,,,
2024-027-marek-vanacker,2023-24,OHL,BFD,68,36,46,82,,pre_draft,true,chl,8752,https://chl.ca/ohl/stats/players/76/all/points,,,,,,,,,,
2024-028-matvei-gridin,2023-24,USHL,MUS,8,1,4,5,,pre_draft,false,ushl,9851,https://ushl.com/ht/#/player/9851/84/Matvei%20Gridin,,,,,,,,,,
2024-028-matvei-gridin,2023-24,USHL,MUS,60,38,45,83,,pre_draft,true,ushl,9851,https://ushl.com/ht/#/player/9851/82/Matvei%20Gridin,,,,,,,,,,
2024-030-ej-emery,2023-24,USHL,NTDP,27,0,6,6,,pre_draft,true,ushl,9891,https://ushl.com/ht/#/player/9891/82/EJ%20Emery,,,,,,,,,,
2024-031-ben-danford,2023-24,OHL,OSH,21,4,6,10,,pre_draft,false,chl,8725,https://chl.ca/ohl/stats/players/77/all/points,,,,,,,,,,
2024-031-ben-danford,2023-24,OHL,OSH,64,1,32,33,,pre_draft,true,chl,8725,https://chl.ca/ohl/stats/players/76/all/points,,,,,,,,,,
2024-032-sam-o-reilly,2023-24,OHL,LDN,16,5,7,12,,pre_draft,false,chl,8712,https://chl.ca/ohl/stats/players/77/all/points,,,,,,,,,,
2024-032-sam-o-reilly,2023-24,OHL,LDN,68,20,36,56,,pre_draft,true,chl,8712,https://chl.ca/ohl/stats/players/76/all/points,,,,,,,,,,
2024-033-igor-chernyshov,2023-24,KHL,Dynamo Moskva,10,0,0,0,,pre_draft,false,open-stats,2024-khl-playoffs-igor-chernyshov,https://en.wikipedia.org/wiki/Igor_Chernyshov_(ice_hockey),,,,,,,,,,
2024-033-igor-chernyshov,2023-24,KHL,Dynamo Moskva,34,3,1,4,,pre_draft,true,open-stats,2024-khl-regular-igor-chernyshov,https://en.wikipedia.org/wiki/Igor_Chernyshov_(ice_hockey),,,,,,,,,,
2024-033-igor-chernyshov,2023-24,MHL,MHC Dynamo Moskva,22,13,15,28,,pre_draft,true,open-stats,2024-mhl-regular-igor-chernyshov,https://en.wikipedia.org/wiki/Igor_Chernyshov_(ice_hockey),,,,,,,,,,
2024-035-lucas-pettersson,2023-24,SHL,MoDo Hockey,5,0,0,0,,pre_draft,true,swehockey,lucaspettersson,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14677,,,,,,,,,,
2024-035-lucas-pettersson,2023-24,Sweden Jrs.,MoDo Hockey,44,27,30,57,,pre_draft,true,swehockey,lucaspettersson@15644+14708,https://stats.swehockey.se/Teams/Info/PlayersByTeam/15644,,,,,,,,,,
2024-036-charlie-elick,2023-24,WHL,BDN,4,0,3,3,,pre_draft,false,chl,29102,https://chl.ca/whl/stats/players/284/all/points,,,,,,,,,,
2024-036-charlie-elick,2023-24,WHL,BDN,65,4,23,27,,pre_draft,true,chl,29102,https://chl.ca/whl/stats/players/281/all/points,,,,,,,,,,
2024-037-alfons-freij,2023-24,Sweden Jrs.,Växjö Lakers HC,5,2,1,3,,pre_draft,false,swehockey,alfonsfreij,https://stats.swehockey.se/Teams/Info/PlayersByTeam/15769,,,,,,,,,,
2024-037-alfons-freij,2023-24,Sweden Jrs.,Växjö Lakers HC,40,14,19,33,,pre_draft,true,swehockey,alfonsfreij@14709+15645,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14709,,,,,,,,,,
2024-038-ilya-nabokov,2023-24,KHL,Metallurg Magnitogorsk,23,0,0,0,,pre_draft,false,open-stats,2024-khl-playoffs-ilya-nabokov,https://en.wikipedia.org/wiki/Ilya_Nabokov,1349,,,41,0.942,1.82,16,6,0,4
