player_id,name,matched,source_name,source_id,source_url,team,games,goals,assists,points,regular_season
2024-065-will-skahan,Will Skahan,true,Will Skahan,9894,https://ushl.com/ht/#/player/9894/82/Will%20Skahan,NTDP,24,4,2,6,true
2024-066-maxim-mass,Maxim Massé,false,,,,,,,,,
2024-067-john-mustard,John Mustard,true,John Mustard,10205,https://ushl.com/ht/#/player/10205/84/John%20Mustard,WAT,2,0,0,0,false
2024-067-john-mustard,John Mustard,true,John Mustard,10205,https://ushl.com/ht/#/player/10205/82/John%20Mustard,WAT,60,29,27,56,true
2024-068-ethan-procyszyn,Ethan Procyszyn,false,,,,,,,,,
2024-069-noel-frans-n,Noel Fransén,false,,,,,,,,,
2024-070-aatos-koivu,Aatos Koivu,false,,,,,,,,,
2024-071-brodie-ziemer,Brodie Ziemer,true,Brodie Ziemer,9883,https://ushl.com/ht/#/player/9883/82/Brodie%20Ziemer,NTDP,27,8,16,24,true
2024-072-anthony-aj-spellacy,Anthony (AJ) Spellacy,false,,,,,,,,,
2024-073-alexis-bernier,Alexis Bernier,false,,,,,,,,,
2024-074-henry-mews,Henry Mews,false,,,,,,,,,
2024-075-ilya-protas,Ilya Protas,true,Ilya Protas,10064,https://ushl.com/ht/#/player/10064/82/Ilya%20Protas,DM,61,14,37,51,true
2024-076-william-zellers,William Zellers,false,,,,,,,,,
2024-077-viggo-gustafsson,Viggo Gustafsson,false,,,,,,,,,
2024-078-logan-sawyer,Logan Sawyer,false,,,,,,,,,
2024-079-tarin-smith,Tarin Smith,false,,,,,,,,,
2024-080-ondrej-becher,Ondrej Becher,false,,,,,,,,,
2024-081-ondrej-kos,Ondrej Kos,false,,,,,,,,,
2024-082-carson-wetsch,Carson Wetsch,false,,,,,,,,,
2024-083-pavel-moysevich,Pavel Moysevich,false,,,,,,,,,
2024-084-kirill-zarubin,Kirill Zarubin,false,,,,,,,,,
2024-085-kasper-pikkarainen,Kasper Pikkarainen,false,,,,,,,,,
2024-086-luca-marrelli,Luca Marrelli,false,,,,,,,,,
2024-087-miguel-marques,Miguel Marques,false,,,,,,,,,
2024-088-kim-saarinen,Kim Saarinen,false,,,,,,,,,
2024-089-tomas-lavoie,Tomas Lavoie,false,,,,,,,,,
2024-090-eriks-mateiko,Eriks Mateiko,false,,,,,,,,,
2024-091-herman-tr-ff,Herman Träff,false,,,,,,,,,
2024-092-jack-pridham,Jack Pridham,false,,,,,,,,,
2024-093-melvin-fernstr-m,Melvin Fernström,false,,,,,,,,,
2024-094-hiroki-gojsic,Hiroki Gojsic,false,,,,,,,,,
2024-095-adam-jecho,Adam Jecho,false,,,,,,,,,
2024-096-veeti-v-is-nen,Veeti Väisänen,false,,,,,,,,,
2024-097-matvei-shuravin,Matvei Shuravin,false,,,,,,,,,
2024-098-gregor-biber,Gregor Biber,false,,,,,,,,,
2024-099-jakub-milota,Jakub Milota,false,,,,,,,,,
2024-100-alexandre-blais,Alexandre Blais,false,,,,,,,,,
2024-101-tanner-henricks,Tanner Henricks,true,Tanner Henricks,10117,https://ushl.com/ht/#/player/10117/84/Tanner%20Henricks,LIN,5,0,1,1,false
2024-101-tanner-henricks,Tanner Henricks,true,Tanner Henricks,10117,https://ushl.com/ht/#/player/10117/82/Tanner%20Henricks,LIN,59,0,9,9,true
2024-102-owen-protz,Owen Protz,false,,,,,,,,,
2024-103-gabe-smith,Gabe Smith,false,,,,,,,,,
2024-104-lucas-ellinas,Lucas Ellinas,false,,,,,,,,,
2024-105-ollie-josephson,Ollie Josephson,false,,,,,,,,,
2024-106-trevor-hoskin,Trevor Hoskin,false,,,,,,,,,
2024-107-heikki-ruohonen,Heikki Ruohonen,false,,,,,,,,,
2024-108-luke-osburn,Luke Osburn,true,Luke Osburn,10137,https://ushl.com/ht/#/player/10137/84/Luke%20Osburn,YNG,7,0,1,1,false
2024-108-luke-osburn,Luke Osburn,true,Luke Osburn,10137,https://ushl.com/ht/#/player/10137/82/Luke%20Osburn,YNG,60,8,15,23,true
2024-109-kevin-he,Kevin He,false,,,,,,,,,
2024-110-elliott-groenewold,Elliott Groenewold,true,Elliott Groenewold,10036,https://ushl.com/ht/#/player/10036/82/Elliott%20Groenewold,CR,57,5,11,16,true
2024-111-chase-pietila,Chase Pietila,false,,,,,,,,,
2024-112-javon-moore,Javon Moore,false,,,,,,,,,
2024-113-tomas-mrsic,Tomas Mrsic,false,,,,,,,,,
2024-114-nicholas-kempf,Nicholas Kempf,false,,,,,,,,,
