player_id,season,league,team,timing,regular_season,games,plus_minus,shots,blocks,faceoff_wins,faceoff_losses,faceoff_percentage,source,source_id,source_url
2024-001-macklin-celebrini,2023-24,NCAA,Boston University,pre_draft,true,38,25,179,15,317,275,53.5,collegehockeyinc,59213,https://collegehockeyinc.com/players/career/59213
2024-002-artyom-levshunov,2023-24,NCAA,Michigan State,pre_draft,true,38,27,82,24,0,0,,collegehockeyinc,60239,https://collegehockeyinc.com/players/career/60239
2024-012-zeev-buium,2023-24,NCAA,Denver,pre_draft,true,42,33,75,41,0,0,,collegehockeyinc,60326,https://collegehockeyinc.com/players/career/60326
2024-111-chase-pietila,2023-24,NCAA,Michigan Tech,pre_draft,true,40,1,78,52,0,0,,collegehockeyinc,57102,https://collegehockeyinc.com/players/career/57102
2024-172-patrick-geary,2023-24,NCAA,Michigan State,pre_draft,true,32,1,38,25,0,0,,collegehockeyinc,59512,https://collegehockeyinc.com/players/career/59512
2024-015-michael-brandsegg-nyg-rd,2023-24,HockeyAllsvenskan,Mora IK,pre_draft,true,41,3,75,,4,6,40.00,swehockey,michaelbrandseggnygard,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14678
2024-015-michael-brandsegg-nyg-rd,2023-24,HockeyAllsvenskan,Mora IK,pre_draft,false,12,1,27,,9,6,60.00,swehockey,michaelbrandseggnygard,https://stats.swehockey.se/Teams/Info/PlayersByTeam/15784
2024-015-michael-brandsegg-nyg-rd,2023-24,Sweden Jrs.,Mora IK,pre_draft,true,7,9,38,,3,4,42.86,swehockey,michaelbrandseggnygard,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14708
2024-035-lucas-pettersson,2023-24,SHL,MoDo Hockey,pre_draft,true,5,-1,0,,1,2,33.33,swehockey,lucaspettersson,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14677
2024-035-lucas-pettersson,2023-24,Sweden Jrs.,MoDo Hockey,pre_draft,true,44,27,162,,447,408,52.3,swehockey,lucaspettersson@15644+14708,https://stats.swehockey.se/Teams/Info/PlayersByTeam/15644
2024-037-alfons-freij,2023-24,Sweden Jrs.,Växjö Lakers HC,pre_draft,false,5,-2,14,,0,0,N/A,swehockey,alfonsfreij,https://stats.swehockey.se/Teams/Info/PlayersByTeam/15769
2024-037-alfons-freij,2023-24,Sweden Jrs.,Växjö Lakers HC,pre_draft,true,40,0,96,,0,0,,swehockey,alfonsfreij@14709+15645,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14709
2024-039-gabriel-eliasson,2023-24,Sweden Jrs.,HV 71,pre_draft,false,2,0,1,,0,0,N/A,swehockey,gabrieleliasson,https://stats.swehockey.se/Teams/Info/PlayersByTeam/15769
2024-039-gabriel-eliasson,2023-24,Sweden Jrs.,HV 71,pre_draft,true,36,-3,52,,0,0,,swehockey,gabrieleliasson@14709+15645,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14709
2024-051-jack-berglund,2023-24,SHL,Färjestad BK,pre_draft,true,8,1,7,,0,0,N/A,swehockey,jackberglund,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14677
2024-051-jack-berglund,2023-24,Sweden Jrs.,Färjestad BK,pre_draft,false,2,0,3,,18,16,52.94,swehockey,jackberglund,https://stats.swehockey.se/Teams/Info/PlayersByTeam/15769
2024-051-jack-berglund,2023-24,Sweden Jrs.,Färjestad BK,pre_draft,true,41,4,73,,319,244,56.7,swehockey,jackberglund@14709+15645,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14709
