player_id,name,matched,source_name,source,source_id,source_url,league,team,games,goals,assists,points,regular_season
2024-038-ilya-nabokov,Ilya Nabokov,true,Ilya Nabokov,wikipedia-career-goalie,2024-khl-regular-ilya-nabokov,https://en.wikipedia.org/wiki/Ilya_Nabokov,KHL,Metallurg Magnitogorsk,43,0,0,0,true
2024-038-ilya-nabokov,Ilya Nabokov,true,Ilya Nabokov,wikipedia-career-goalie,2024-khl-playoffs-ilya-nabokov,https://en.wikipedia.org/wiki/Ilya_Nabokov,KHL,Metallurg Magnitogorsk,23,0,0,0,false
2024-039-gabriel-eliasson,Gabriel Eliasson,false,,,,,,,,,,,
2024-040-julius-miettinen,Julius Miettinen,false,,,,,,,,,,,
2024-041-andrew-basha,Andrew Basha,false,,,,,,,,,,,
2024-042-adam-kleber,Adam Kleber,false,,,,,,,,,,,
2024-043-cole-hutson,Cole Hutson,false,,,,,,,,,,,
2024-044-harrison-brunicke,Harrison Brunicke,false,,,,,,,,,,,
2024-045-ryder-ritchie,Ryder Ritchie,false,,,,,,,,,,,
2024-046-tanner-howe,Tanner Howe,false,,,,,,,,,,,
2024-047-max-plante,Max Plante,false,,,,,,,,,,,
2024-048-colin-ralph,Colin Ralph,false,,,,,,,,,,,
2024-049-mikhail-yegorov,Mikhail Yegorov,false,,,,,,,,,,,
2024-050-nikita-artamonov,Nikita Artamonov,true,Nikita Artamonov,eliteprospects-team,2024-khl-regular-nikita-artamonov,https://www.eliteprospects.com/team/200/torpedo-nizhny-novgorod/stats/2023-2024,KHL,Torpedo Nizhny Novgorod,54,7,16,23,true
2024-050-nikita-artamonov,Nikita Artamonov,true,Nikita Artamonov,recruit-scouting,2024-khl-playoffs-nikita-artamonov,https://www.recruitscouting.com/recruitscoutings-2024-nhl-draft-guide/,KHL,Torpedo Nizhny Novgorod,5,0,0,0,false
2024-050-nikita-artamonov,Nikita Artamonov,true,Nikita Artamonov,recruit-scouting,2024-mhl-playoffs-nikita-artamonov,https://www.recruitscouting.com/recruitscoutings-2024-nhl-draft-guide/,MHL,Chaika Nizhny Novgorod,11,6,4,10,false
2024-051-jack-berglund,Jack Berglund,false,,,,,,,,,,,
2024-052-leon-muggli,Leon Muggli,false,,,,,,,,,,,
2024-053-leo-sahlin-wallenius,Leo Sahlin Wallenius,false,,,,,,,,,,,
2024-054-jesse-pulkkinen,Jesse Pulkkinen,false,,,,,,,,,,,
2024-055-teddy-stiga,Teddy Stiga,false,,,,,,,,,,,
2024-056-lukas-fischer,Lukas Fischer,false,,,,,,,,,,,
2024-057-carter-george,Carter George,false,,,,,,,,,,,
2024-058-linus-eriksson,Linus Eriksson,false,,,,,,,,,,,
2024-059-spencer-gill,Spencer Gill,false,,,,,,,,,,,
2024-060-evan-gardner,Evan Gardner,false,,,,,,,,,,,
2024-061-kamil-bednarik,Kamil Bednarik,false,,,,,,,,,,,
2024-062-jacob-battaglia,Jacob Battaglia,false,,,,,,,,,,,
2024-063-nathan-villeneuve,Nathan Villeneuve,false,,,,,,,,,,,
2024-064-eemil-vinni,Eemil Vinni,false,,,,,,,,,,,
2024-065-will-skahan,Will Skahan,false,,,,,,,,,,,
2024-066-maxim-mass,Maxim Massé,false,,,,,,,,,,,
2024-067-john-mustard,John Mustard,false,,,,,,,,,,,
2024-068-ethan-procyszyn,Ethan Procyszyn,false,,,,,,,,,,,
2024-069-noel-frans-n,Noel Fransén,false,,,,,,,,,,,
2024-070-aatos-koivu,Aatos Koivu,false,,,,,,,,,,,
2024-071-brodie-ziemer,Brodie Ziemer,false,,,,,,,,,,,
2024-072-anthony-aj-spellacy,Anthony (AJ) Spellacy,false,,,,,,,,,,,
2024-073-alexis-bernier,Alexis Bernier,false,,,,,,,,,,,
2024-074-henry-mews,Henry Mews,false,,,,,,,,,,,
2024-075-ilya-protas,Ilya Protas,false,,,,,,,,,,,
2024-076-william-zellers,William Zellers,false,,,,,,,,,,,
2024-077-viggo-gustafsson,Viggo Gustafsson,false,,,,,,,,,,,
2024-078-logan-sawyer,Logan Sawyer,false,,,,,,,,,,,
2024-079-tarin-smith,Tarin Smith,false,,,,,,,,,,,
2024-080-ondrej-becher,Ondrej Becher,false,,,,,,,,,,,
2024-081-ondrej-kos,Ondrej Kos,false,,,,,,,,,,,
2024-082-carson-wetsch,Carson Wetsch,false,,,,,,,,,,,
2024-083-pavel-moysevich,Pavel Moysevich,false,,,,,,,,,,,
2024-084-kirill-zarubin,Kirill Zarubin,true,Kirill Zarubin,quanthockey-player-goalie,2024-mhl-regular-akm-kirill-zarubin,https://www.quanthockey.com/hockey-stats/en/profile.php?player=150919,MHL,AKM-Yunior Tula,16,0,0,0,true
2024-084-kirill-zarubin,Kirill Zarubin,true,Kirill Zarubin,quanthockey-player-goalie,2024-mhl-regular-mikhailov-kirill-zarubin,https://www.quanthockey.com/hockey-stats/en/profile.php?player=150919,MHL,Mikhailov Academy U20,29,0,0,0,true
2024-085-kasper-pikkarainen,Kasper Pikkarainen,false,,,,,,,,,,,
2024-086-luca-marrelli,Luca Marrelli,false,,,,,,,,,,,
2024-087-miguel-marques,Miguel Marques,false,,,,,,,,,,,
2024-088-kim-saarinen,Kim Saarinen,false,,,,,,,,,,,
2024-089-tomas-lavoie,Tomas Lavoie,false,,,,,,,,,,,
2024-090-eriks-mateiko,Eriks Mateiko,false,,,,,,,,,,,
2024-091-herman-tr-ff,Herman Träff,false,,,,,,,,,,,
2024-092-jack-pridham,Jack Pridham,false,,,,,,,,,,,
2024-093-melvin-fernstr-m,Melvin Fernström,false,,,,,,,,,,,
2024-094-hiroki-gojsic,Hiroki Gojsic,false,,,,,,,,,,,
2024-095-adam-jecho,Adam Jecho,false,,,,,,,,,,,
2024-096-veeti-v-is-nen,Veeti Väisänen,false,,,,,,,,,,,
2024-097-matvei-shuravin,Matvei Shuravin,true,Matvei Shuravin,nhl-prospect-bios,2024-khl-regular-matvei-shuravin,https://media.nhl.com/site/asset/public/ext/2023-24/2024NHLDraft_ProspectProfiles.pdf#page=43,KHL,CSKA Moscow,11,0,2,2,true
2024-097-matvei-shuravin,Matvei Shuravin,true,Matvei Shuravin,nhl-prospect-bios,2024-mhl-regular-matvei-shuravin,https://media.nhl.com/site/asset/public/ext/2023-24/2024NHLDraft_ProspectProfiles.pdf#page=43,MHL,Krasnaya Armiya Moscow,22,0,7,7,true
2024-098-gregor-biber,Gregor Biber,false,,,,,,,,,,,
2024-099-jakub-milota,Jakub Milota,false,,,,,,,,,,,
2024-100-alexandre-blais,Alexandre Blais,false,,,,,,,,,,,
2024-101-tanner-henricks,Tanner Henricks,false,,,,,,,,,,,
2024-102-owen-protz,Owen Protz,false,,,,,,,,,,,
2024-103-gabe-smith,Gabe Smith,false,,,,,,,,,,,
2024-104-lucas-ellinas,Lucas Ellinas,false,,,,,,,,,,,
2024-105-ollie-josephson,Ollie Josephson,false,,,,,,,,,,,
2024-106-trevor-hoskin,Trevor Hoskin,false,,,,,,,,,,,
2024-107-heikki-ruohonen,Heikki Ruohonen,false,,,,,,,,,,,
2024-108-luke-osburn,Luke Osburn,false,,,,,,,,,,,
2024-109-kevin-he,Kevin He,false,,,,,,,,,,,
2024-110-elliott-groenewold,Elliott Groenewold,false,,,,,,,,,,,
2024-111-chase-pietila,Chase Pietila,false,,,,,,,,,,,
2024-112-javon-moore,Javon Moore,false,,,,,,,,,,,
2024-113-tomas-mrsic,Tomas Mrsic,false,,,,,,,,,,,
2024-114-nicholas-kempf,Nicholas Kempf,false,,,,,,,,,,,
2024-115-dmitry-gamzin,Dmitry Gamzin,true,Dmitry Gamzin,sportsru-goalie,2024-khl-regular-dmitry-gamzin,https://www.sports.ru/hockey/person/dmitry-gamzin/,KHL,CSKA Moscow,13,0,0,0,true
2024-116-christian-kirsch,Christian Kirsch,false,,,,,,,,,,,
2024-117-blake-montgomery,Blake Montgomery,false,,,,,,,,,,,
2024-118-jan-golicic,Jan Golicic,false,,,,,,,,,,,
2024-119-raoul-boilard,Raoul Boilard,false,,,,,,,,,,,
2024-120-victor-johansson,Victor Johansson,false,,,,,,,,,,,
2024-121-jake-fisher,Jake Fisher,false,,,,,,,,,,,
2024-122-aron-kiviharju,Aron Kiviharju,false,,,,,,,,,,,
2024-123-simon-pier-brunet,Simon-Pier Brunet,false,,,,,,,,,,,
2024-124-alexander-siryatsky,Alexander Siryatsky,true,Alexander Siryatsky,canes-prospect-bio,2024-khl-regular-alexander-siryatsky,https://canespr.com/alexandersiryatsky/,KHL,Metallurg Magnitogorsk,3,0,0,0,true
