player_id,name,matched,match_method,provider,league,source_name,source_id,source_url,team,games,points,save_percentage
2024-001-macklin-celebrini,Macklin Celebrini,false,not_configured,,,,,,,,,
2024-002-artyom-levshunov,Artyom Levshunov,false,not_configured,,,,,,,,,
2024-003-beckett-sennecke,Beckett Sennecke,false,not_configured,,,,,,,,,
2024-004-cayden-lindstrom,Cayden Lindstrom,false,not_configured,,,,,,,,,
2024-005-ivan-demidov,Ivan Demidov,false,not_configured,,,,,,,,,
2024-006-tij-iginla,Tij Iginla,false,not_configured,,,,,,,,,
2024-007-carter-yakemchuk,Carter Yakemchuk,false,not_configured,,,,,,,,,
2024-008-berkly-catton,Berkly Catton,false,not_configured,,,,,,,,,
2024-009-zayne-parekh,Zayne Parekh,false,not_configured,,,,,,,,,
2024-010-anton-silayev,Anton Silayev,false,not_configured,,,,,,,,,
2024-011-sam-dickinson,Sam Dickinson,false,not_configured,,,,,,,,,
2024-012-zeev-buium,Zeev Buium,false,not_configured,,,,,,,,,
2024-013-jett-luchanko,Jett Luchanko,false,not_configured,,,,,,,,,
2024-014-konsta-helenius,Konsta Helenius,false,not_configured,,,,,,,,,
2024-015-michael-brandsegg-nyg-rd,Michael Brandsegg-Nygård,true,exact_name,swehockey,HockeyAllsvenskan,Michael Brandsegg-Nygård,michaelbrandseggnygard,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14678,Mora IK,41,18,
2024-015-michael-brandsegg-nyg-rd,Michael Brandsegg-Nygård,true,exact_name,swehockey,HockeyAllsvenskan,Michael Brandsegg-Nygård,michaelbrandseggnygard,https://stats.swehockey.se/Teams/Info/PlayersByTeam/15784,Mora IK,12,10,
2024-015-michael-brandsegg-nyg-rd,Michael Brandsegg-Nygård,true,exact_name,swehockey,Sweden Jrs.,Michael Brandsegg-Nygård,michaelbrandseggnygard,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14708,Mora IK,7,12,
2024-016-adam-jiricek,Adam Jiricek,false,not_configured,,,,,,,,,
2024-017-terik-parascak,Terik Parascak,false,not_configured,,,,,,,,,
2024-018-sacha-boisvert,Sacha Boisvert,false,not_configured,,,,,,,,,
2024-019-trevor-connelly,Trevor Connelly,false,not_configured,,,,,,,,,
2024-020-cole-eiserman,Cole Eiserman,false,not_configured,,,,,,,,,
2024-021-michael-hage,Michael Hage,false,not_configured,,,,,,,,,
2024-022-egor-surin,Egor Surin,false,not_configured,,,,,,,,,
2024-023-stian-solberg,Stian Solberg,false,not_configured,,,,,,,,,
2024-024-cole-beaudoin,Cole Beaudoin,false,not_configured,,,,,,,,,
2024-025-dean-letourneau,Dean Letourneau,false,not_configured,,,,,,,,,
2024-026-liam-greentree,Liam Greentree,false,not_configured,,,,,,,,,
2024-027-marek-vanacker,Marek Vanacker,false,not_configured,,,,,,,,,
2024-028-matvei-gridin,Matvei Gridin,false,not_configured,,,,,,,,,
2024-029-emil-hemming,Emil Hemming,false,not_configured,,,,,,,,,
2024-030-ej-emery,EJ Emery,false,not_configured,,,,,,,,,
2024-031-ben-danford,Ben Danford,false,not_configured,,,,,,,,,
2024-032-sam-o-reilly,Sam O'Reilly,false,not_configured,,,,,,,,,
2024-033-igor-chernyshov,Igor Chernyshov,false,not_configured,,,,,,,,,
2024-034-dominik-badinka,Dominik Badinka,false,not_configured,,,,,,,,,
2024-035-lucas-pettersson,Lucas Pettersson,true,exact_name,swehockey,SHL,Lucas Pettersson,lucaspettersson,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14677,MoDo Hockey,5,0,
2024-035-lucas-pettersson,Lucas Pettersson,true,exact_name,swehockey,Sweden Jrs.,Lucas Pettersson,lucaspettersson@15644+14708,https://stats.swehockey.se/Teams/Info/PlayersByTeam/15644,MoDo Hockey,44,57,
2024-036-charlie-elick,Charlie Elick,false,not_configured,,,,,,,,,
2024-037-alfons-freij,Alfons Freij,true,exact_name,swehockey,Sweden Jrs.,Alfons Freij,alfonsfreij,https://stats.swehockey.se/Teams/Info/PlayersByTeam/15769,Växjö Lakers HC,5,3,
2024-037-alfons-freij,Alfons Freij,true,exact_name,swehockey,Sweden Jrs.,Alfons Freij,alfonsfreij@14709+15645,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14709,Växjö Lakers HC,40,33,
2024-038-ilya-nabokov,Ilya Nabokov,false,not_configured,,,,,,,,,
2024-039-gabriel-eliasson,Gabriel Eliasson,true,exact_name,swehockey,Sweden Jrs.,Gabriel Eliasson,gabrieleliasson,https://stats.swehockey.se/Teams/Info/PlayersByTeam/15769,HV 71,2,0,
2024-039-gabriel-eliasson,Gabriel Eliasson,true,exact_name,swehockey,Sweden Jrs.,Gabriel Eliasson,gabrieleliasson@14709+15645,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14709,HV 71,36,6,
2024-040-julius-miettinen,Julius Miettinen,false,not_configured,,,,,,,,,
2024-041-andrew-basha,Andrew Basha,false,not_configured,,,,,,,,,
2024-042-adam-kleber,Adam Kleber,false,not_configured,,,,,,,,,
2024-043-cole-hutson,Cole Hutson,false,not_configured,,,,,,,,,
2024-044-harrison-brunicke,Harrison Brunicke,false,not_configured,,,,,,,,,
2024-045-ryder-ritchie,Ryder Ritchie,false,not_configured,,,,,,,,,
2024-046-tanner-howe,Tanner Howe,false,not_configured,,,,,,,,,
2024-047-max-plante,Max Plante,false,not_configured,,,,,,,,,
2024-048-colin-ralph,Colin Ralph,false,not_configured,,,,,,,,,
2024-049-mikhail-yegorov,Mikhail Yegorov,false,not_configured,,,,,,,,,
2024-050-nikita-artamonov,Nikita Artamonov,false,not_configured,,,,,,,,,
2024-051-jack-berglund,Jack Berglund,true,exact_name,swehockey,SHL,Jack Berglund,jackberglund,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14677,Färjestad BK,8,1,
2024-051-jack-berglund,Jack Berglund,true,exact_name,swehockey,Sweden Jrs.,Jack Berglund,jackberglund,https://stats.swehockey.se/Teams/Info/PlayersByTeam/15769,Färjestad BK,2,1,
2024-051-jack-berglund,Jack Berglund,true,exact_name,swehockey,Sweden Jrs.,Jack Berglund,jackberglund@14709+15645,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14709,Färjestad BK,41,34,
2024-052-leon-muggli,Leon Muggli,false,not_configured,,,,,,,,,
2024-053-leo-sahlin-wallenius,Leo Sahlin Wallenius,true,exact_name,swehockey,Sweden Jrs.,Leo Sahlin Wallenius,leosahlinwallenius,https://stats.swehockey.se/Teams/Info/PlayersByTeam/15769,Växjö Lakers HC,5,3,
2024-053-leo-sahlin-wallenius,Leo Sahlin Wallenius,true,exact_name,swehockey,Sweden Jrs.,Leo Sahlin Wallenius,leosahlinwallenius@14709+15645,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14709,Växjö Lakers HC,43,42,
2024-054-jesse-pulkkinen,Jesse Pulkkinen,false,not_configured,,,,,,,,,
2024-055-teddy-stiga,Teddy Stiga,false,not_configured,,,,,,,,,
2024-056-lukas-fischer,Lukas Fischer,false,not_configured,,,,,,,,,
2024-057-carter-george,Carter George,false,not_configured,,,,,,,,,
2024-058-linus-eriksson,Linus Eriksson,true,exact_name,swehockey,HockeyAllsvenskan,Linus Eriksson,linuseriksson,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14678,Djurgårdens IF,29,11,
2024-058-linus-eriksson,Linus Eriksson,true,exact_name,swehockey,HockeyAllsvenskan,Linus Eriksson,linuseriksson,https://stats.swehockey.se/Teams/Info/PlayersByTeam/15784,Djurgårdens IF,12,4,
2024-058-linus-eriksson,Linus Eriksson,true,exact_name,swehockey,Sweden Jrs.,Linus Eriksson,linuseriksson@14708+15645,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14708,Djurgårdens IF,25,21,
2024-059-spencer-gill,Spencer Gill,false,not_configured,,,,,,,,,
2024-060-evan-gardner,Evan Gardner,false,not_configured,,,,,,,,,
2024-061-kamil-bednarik,Kamil Bednarik,false,not_configured,,,,,,,,,
2024-062-jacob-battaglia,Jacob Battaglia,false,not_configured,,,,,,,,,
2024-063-nathan-villeneuve,Nathan Villeneuve,false,not_configured,,,,,,,,,
2024-064-eemil-vinni,Eemil Vinni,false,not_configured,,,,,,,,,
2024-065-will-skahan,Will Skahan,false,not_configured,,,,,,,,,
2024-066-maxim-mass,Maxim Massé,false,not_configured,,,,,,,,,
2024-067-john-mustard,John Mustard,false,not_configured,,,,,,,,,
2024-068-ethan-procyszyn,Ethan Procyszyn,false,not_configured,,,,,,,,,
2024-069-noel-frans-n,Noel Fransén,true,exact_name,swehockey,SHL,Noel Fransén,noelfransen,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14677,Färjestad BK,4,1,
2024-069-noel-frans-n,Noel Fransén,true,exact_name,swehockey,Sweden Jrs.,Noel Fransén,noelfransen,https://stats.swehockey.se/Teams/Info/PlayersByTeam/15769,Färjestad BK,2,1,
2024-069-noel-frans-n,Noel Fransén,true,exact_name,swehockey,Sweden Jrs.,Noel Fransén,noelfransen@14709+15645,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14709,Färjestad BK,45,44,
2024-070-aatos-koivu,Aatos Koivu,false,unmatched,,,,,,,,,
2024-071-brodie-ziemer,Brodie Ziemer,false,not_configured,,,,,,,,,
2024-072-anthony-aj-spellacy,Anthony (AJ) Spellacy,false,not_configured,,,,,,,,,
2024-073-alexis-bernier,Alexis Bernier,false,not_configured,,,,,,,,,
2024-074-henry-mews,Henry Mews,false,not_configured,,,,,,,,,
2024-075-ilya-protas,Ilya Protas,false,not_configured,,,,,,,,,
2024-076-william-zellers,William Zellers,false,not_configured,,,,,,,,,
2024-077-viggo-gustafsson,Viggo Gustafsson,true,exact_name,swehockey,Sweden Jrs.,Viggo Gustafsson,viggogustafsson,https://stats.swehockey.se/Teams/Info/PlayersByTeam/15769,HV 71,2,0,
2024-077-viggo-gustafsson,Viggo Gustafsson,true,exact_name,swehockey,Sweden Jrs.,Viggo Gustafsson,viggogustafsson@14709+15645,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14709,HV 71,41,19,
2024-078-logan-sawyer,Logan Sawyer,false,not_configured,,,,,,,,,
