player_id,season,league,team,games,goals,assists,points,age,timing,regular_season,source,source_id,source_url,goalie_minutes,shots_against,saves,goals_against,save_percentage,goals_against_average,wins,losses,ties,shutouts
2026-001-gavin-mckenna,2025-26,NCAA,Penn State,35,15,36,51,,pre_draft,true,collegehockeyinc,61864,https://collegehockeyinc.com/players/career/61864,,,,,,,,,,
2026-002-ivar-stenberg,2025-26,SHL,Frölunda HC,6,0,4,4,,pre_draft,false,swehockey,ivarstenberg,https://stats.swehockey.se/Teams/Info/PlayersByTeam/19791,,,,,,,,,,
2026-002-ivar-stenberg,2025-26,SHL,Frölunda HC,43,11,22,33,,pre_draft,true,swehockey,ivarstenberg,https://stats.swehockey.se/Teams/Info/PlayersByTeam/18263,,,,,,,,,,
2026-003-caleb-malhotra,2025-26,OHL,BFD,15,13,13,26,,pre_draft,false,chl,9474,https://chl.ca/ohl/stats/players/85/all/points,,,,,,,,,,
2026-003-caleb-malhotra,2025-26,OHL,BFD,67,29,55,84,,pre_draft,true,chl,9474,https://chl.ca/ohl/stats/players/83/all/points,,,,,,,,,,
2026-004-daxon-rudolph,2024-25,WHL,PA,11,1,11,12,,pre_draft,false,chl,29416,https://chl.ca/whl/players/29416,,,,,,,,,,
2026-004-daxon-rudolph,2024-25,WHL,PA,64,7,34,41,,pre_draft,true,chl,29416,https://chl.ca/whl/players/29416,,,,,,,,,,
2026-004-daxon-rudolph,2025-26,WHL,PA,19,9,18,27,,pre_draft,false,chl,29416,https://chl.ca/whl/stats/players/293/all/points,,,,,,,,,,
2026-004-daxon-rudolph,2025-26,WHL,PA,68,28,50,78,,pre_draft,true,chl,29416,https://chl.ca/whl/stats/players/289/all/points,,,,,,,,,,
2026-006-carson-carels,2023-24,WHL,PG,7,0,3,3,,pre_draft,true,chl,29468,https://chl.ca/whl/stats/players/281/all/points,,,,,,,,,,
2026-006-carson-carels,2024-25,WHL,PG,7,1,3,4,,pre_draft,false,chl,29468,https://chl.ca/whl/players/29468,,,,,,,,,,
