player_id,name,matched,match_method,provider,league,source_name,source_id,source_url,team,games,points,save_percentage
2026-001-gavin-mckenna,Gavin McKenna,false,not_configured,,,,,,,,,
2026-002-ivar-stenberg,Ivar Stenberg,true,exact_name,swehockey,SHL,Ivar Stenberg,ivarstenberg,https://stats.swehockey.se/Teams/Info/PlayersByTeam/19791,Frölunda HC,6,4,
2026-002-ivar-stenberg,Ivar Stenberg,true,exact_name,swehockey,SHL,Ivar Stenberg,ivarstenberg,https://stats.swehockey.se/Teams/Info/PlayersByTeam/18263,Frölunda HC,43,33,
2026-003-caleb-malhotra,Caleb Malhotra,false,not_configured,,,,,,,,,
2026-004-daxon-rudolph,Daxon Rudolph,false,not_configured,,,,,,,,,
2026-005-alberts-smits,Alberts Smits,false,not_configured,,,,,,,,,
2026-006-carson-carels,Carson Carels,false,not_configured,,,,,,,,,
2026-007-chase-reid,Chase Reid,false,not_configured,,,,,,,,,
2026-008-viggo-bjorck,Viggo Bjorck,true,exact_name,swehockey,SHL,Viggo Björck,viggobjorck,https://stats.swehockey.se/Teams/Info/PlayersByTeam/19791,Djurgårdens IF,3,3,
2026-008-viggo-bjorck,Viggo Bjorck,true,exact_name,swehockey,SHL,Viggo Björck,viggobjorck,https://stats.swehockey.se/Teams/Info/PlayersByTeam/18263,Djurgårdens IF,42,15,
2026-008-viggo-bjorck,Viggo Bjorck,true,exact_name,swehockey,Sweden Jrs.,Viggo Björck,viggobjorck,https://stats.swehockey.se/Teams/Info/PlayersByTeam/18268,Djurgårdens IF,4,5,
2026-008-viggo-bjorck,Viggo Bjorck,true,exact_name,swehockey,Sweden Jrs.,Viggo Björck,viggobjorck,https://stats.swehockey.se/Teams/Info/PlayersByTeam/19943,Djurgårdens IF,9,20,
2026-009-keaton-verhoeff,Keaton Verhoeff,false,not_configured,,,,,,,,,
2026-010-wyatt-cullen,Wyatt Cullen,false,not_configured,,,,,,,,,
2026-011-tynan-lawrence,Tynan Lawrence,false,not_configured,,,,,,,,,
2026-012-alexander-command,Alexander Command,true,exact_name,swehockey,SHL,Alexander Command,alexandercommand,https://stats.swehockey.se/Teams/Info/PlayersByTeam/18263,Örebro HK,6,0,
2026-012-alexander-command,Alexander Command,true,exact_name,swehockey,Sweden Jrs.,Alexander Command,alexandercommand,https://stats.swehockey.se/Teams/Info/PlayersByTeam/19943,Örebro HK,14,13,
