player_id,name,birth_date,nationality,position,handedness,height_cm,weight_kg,age_at_draft,source,source_id,source_url
2017-042-eetu-luostarinen,Eetu Luostarinen,,FIN,C,,188,81,,nhl_draft_api,2017-42,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-043-dylan-samberg,Dylan Samberg,,USA,D,,190,96,,nhl_draft_api,2017-43,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-044-filip-westerlund,Filip Westerlund,,SWE,D,,180,79,,nhl_draft_api,2017-44,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-045-alexandre-texier,Alexandre Texier,,FRA,C,,183,85,,nhl_draft_api,2017-45,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-046-robin-salo,Robin Salo,,FIN,D,,185,86,,nhl_draft_api,2017-46,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-047-alex-formenton,Alex Formenton,,CAN,LW,,185,75,,nhl_draft_api,2017-47,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-048-alexander-volkov,Alexander Volkov,,RUS,RW,,185,87,,nhl_draft_api,2017-48,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-049-mario-ferraro,Mario Ferraro,,CAN,D,,178,84,,nhl_draft_api,2017-49,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-050-maxime-comtois,Maxime Comtois,,CAN,LW,,185,94,,nhl_draft_api,2017-50,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-051-zachary-lauzon,Zachary Lauzon,,CAN,D,,183,85,,nhl_draft_api,2017-51,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-052-luke-martin,Luke Martin,,USA,D,,188,100,,nhl_draft_api,2017-52,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-053-jack-studnicka,Jack Studnicka,,CAN,C,,183,78,,nhl_draft_api,2017-53,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-054-ukko-pekka-luukkonen,Ukko-Pekka Luukkonen,,FIN,G,,193,90,,nhl_draft_api,2017-54,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-055-jonah-gadjovich,Jonah Gadjovich,,CAN,LW,,185,90,,nhl_draft_api,2017-55,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-056-josh-brook,Josh Brook,,CAN,D,,185,87,,nhl_draft_api,2017-56,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-057-ian-mitchell,Ian Mitchell,,CAN,D,,180,78,,nhl_draft_api,2017-57,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-058-joni-ikonen,Joni Ikonen,,FIN,C,,180,80,,nhl_draft_api,2017-58,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-059-eemeli-rasanen,Eemeli Rasanen,,FIN,D,,198,97,,nhl_draft_api,2017-59,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-060-antoine-morand,Antoine Morand,,CAN,C,,178,79,,nhl_draft_api,2017-60,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-061-grant-mismash,Grant Mismash,,USA,LW,,183,82,,nhl_draft_api,2017-61,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-062-jake-leschyshyn,Jake Leschyshyn,,USA,C,,178,86,,nhl_draft_api,2017-62,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-063-fabian-zetterlund,Fabian Zetterlund,,SWE,LW/RW,,178,88,,nhl_draft_api,2017-63,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-064-michael-dipietro,Michael DiPietro,,CAN,G,,183,92,,nhl_draft_api,2017-64,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-065-jonas-rondbjerg,Jonas Rondbjerg,,DNK,RW,,185,88,,nhl_draft_api,2017-65,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-066-max-gildon,Max Gildon,,USA,D,,188,87,,nhl_draft_api,2017-66,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-067-morgan-geekie,Morgan Geekie,,CAN,C,,188,86,,nhl_draft_api,2017-67,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-068-scott-walford,Scott Walford,,CAN,D,,185,88,,nhl_draft_api,2017-68,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-069-mackenzie-entwistle,MacKenzie Entwistle,,CAN,RW,,188,78,,nhl_draft_api,2017-69,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-070-andrei-altybarmakian,Andrei Altybarmakian,,RUS,RW,,180,83,,nhl_draft_api,2017-70,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-071-kasper-kotkansalo,Kasper Kotkansalo,,FIN,D,,188,89,,nhl_draft_api,2017-71,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-072-matt-villalta,Matt Villalta,,CAN,G,,188,75,,nhl_draft_api,2017-72,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-073-stelio-mattheos,Stelio Mattheos,,CAN,RW,,183,86,,nhl_draft_api,2017-73,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-074-johnathan-kovacevic,Johnathan Kovacevic,,CAN,D,,193,94,,nhl_draft_api,2017-74,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-075-nate-schnarr,Nate Schnarr,,CAN,C,,190,82,,nhl_draft_api,2017-75,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-076-alexey-lipanov,Alexey Lipanov,,RUS,C,,183,77,,nhl_draft_api,2017-76,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-077-benjamin-mirageas,Benjamin Mirageas,,USA,D,,185,78,,nhl_draft_api,2017-77,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-078-stuart-skinner,Stuart Skinner,,CAN,G,,190,91,,nhl_draft_api,2017-78,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-079-lane-zablocki,Lane Zablocki,,CAN,RW,,180,81,,nhl_draft_api,2017-79,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-080-kirill-ustimenko,Kirill Ustimenko,,BLR,G,,190,85,,nhl_draft_api,2017-80,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-081-reilly-walsh,Reilly Walsh,,USA,D,,178,83,,nhl_draft_api,2017-81,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-082-cameron-crotty,Cameron Crotty,,CAN,D,,188,84,,nhl_draft_api,2017-82,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-083-zach-gallant,Zach Gallant,,CAN,C,,185,90,,nhl_draft_api,2017-83,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-084-dmitri-samorukov,Dmitri Samorukov,,RUS,D,,188,84,,nhl_draft_api,2017-84,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-085-ivan-lodnia,Ivan Lodnia,,USA,RW,,178,80,,nhl_draft_api,2017-85,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-086-daniil-tarasov,Daniil Tarasov,,RUS,G,,193,82,,nhl_draft_api,2017-86,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-087-cale-fleury,Cale Fleury,,CAN,D,,185,90,,nhl_draft_api,2017-87,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-088-keith-petruzzelli,Keith Petruzzelli,,USA,G,,196,79,,nhl_draft_api,2017-88,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-089-oskari-laaksonen,Oskari Laaksonen,,FIN,D,,185,75,,nhl_draft_api,2017-89,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-090-evan-barratt,Evan Barratt,,USA,C,,180,83,,nhl_draft_api,2017-90,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-091-jack-badini,Jack Badini,,USA,C,,183,92,,nhl_draft_api,2017-91,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-092-david-farrance,David Farrance,,USA,D,,180,88,,nhl_draft_api,2017-92,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-093-clayton-phillips,Clayton Phillips,,USA,D,,178,82,,nhl_draft_api,2017-93,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-094-nick-henry,Nick Henry,,CAN,RW,,180,86,,nhl_draft_api,2017-94,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-095-jack-rathbone,Jack Rathbone,,USA,D,,178,78,,nhl_draft_api,2017-95,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-096-maksim-zhukov,Maksim Zhukov,,RUS,G,,188,88,,nhl_draft_api,2017-96,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-097-mason-shaw,Mason Shaw,,CAN,C,,173,78,,nhl_draft_api,2017-97,https://api-web.nhle.com/v1/draft/picks/2017/all
