player_id,draft_year,team_id,team_name,round_number,overall_pick,drafted_from_team,drafted_from_league,source,source_id,source_url
2017-001-nico-hischier,2017,NJD,New Jersey Devils,1,1,Halifax,QMJHL,nhl_draft_api,2017-1,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-002-nolan-patrick,2017,PHI,Philadelphia Flyers,1,2,Brandon,WHL,nhl_draft_api,2017-2,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-003-miro-heiskanen,2017,DAL,Dallas Stars,1,3,HIFK,FINLAND,nhl_draft_api,2017-3,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-004-cale-makar,2017,COL,Colorado Avalanche,1,4,Brooks,AJHL,nhl_draft_api,2017-4,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-005-elias-pettersson,2017,VAN,Vancouver Canucks,1,5,Timra,HockeyAllsvenskan,nhl_draft_api,2017-5,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-006-cody-glass,2017,VGK,Vegas Golden Knights,1,6,Portland,WHL,nhl_draft_api,2017-6,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-007-lias-andersson,2017,NYR,New York Rangers,1,7,HV 71,SWEDEN,nhl_draft_api,2017-7,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-008-casey-mittelstadt,2017,BUF,Buffalo Sabres,1,8,Eden Prarie,High School,nhl_draft_api,2017-8,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-009-michael-rasmussen,2017,DET,Detroit Red Wings,1,9,Tri-City,WHL,nhl_draft_api,2017-9,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-010-owen-tippett,2017,FLA,Florida Panthers,1,10,Mississauga,OHL,nhl_draft_api,2017-10,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-011-gabriel-vilardi,2017,LAK,Los Angeles Kings,1,11,Windsor,OHL,nhl_draft_api,2017-11,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-012-martin-necas,2017,CAR,Carolina Hurricanes,1,12,Brno,Czech Republic,nhl_draft_api,2017-12,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-013-nick-suzuki,2017,VGK,Vegas Golden Knights,1,13,Owen Sound,OHL,nhl_draft_api,2017-13,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-014-cal-foote,2017,TBL,Tampa Bay Lightning,1,14,Kelowna,WHL,nhl_draft_api,2017-14,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-015-erik-brannstrom,2017,VGK,Vegas Golden Knights,1,15,HV 71,SWEDEN,nhl_draft_api,2017-15,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-016-juuso-v-lim-ki,2017,CGY,Calgary Flames,1,16,Tri-City,WHL,nhl_draft_api,2017-16,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-017-timothy-liljegren,2017,TOR,Toronto Maple Leafs,1,17,Rogle,SWEDEN,nhl_draft_api,2017-17,https://api-web.nhle.com/v1/draft/picks/2017/all
