player_id,name,matched,title,league,team,games,goals,assists,points,regular_season,source_url
2025-033-haoxi-wang,Haoxi Wang,false,Haoxi Wang,OHL,Oshawa Generals,21,0,3,3,false,https://en.wikipedia.org/wiki/Haoxi_Wang
2025-034-alexander-zharovsky,Alexander Zharovsky,true,Alexander Zharovsky,MHL,Tolpar Ufa,45,24,26,50,true,https://en.wikipedia.org/wiki/Alexander_Zharovsky
2025-034-alexander-zharovsky,Alexander Zharovsky,false,Alexander Zharovsky,KHL,Salavat Yulaev Ufa,7,0,1,1,false,https://en.wikipedia.org/wiki/Alexander_Zharovsky
2025-036-blake-fiddler,Blake Fiddler,false,Blake Fiddler,WHL,Edmonton Oil Kings,64,10,23,33,true,https://en.wikipedia.org/wiki/Blake_Fiddler
2025-036-blake-fiddler,Blake Fiddler,false,Blake Fiddler,WHL,Edmonton Oil Kings,7,0,1,1,false,https://en.wikipedia.org/wiki/Blake_Fiddler
2025-044-eddie-genborg,Eddie Genborg,false,Eddie Genborg,J20,Linköping HC,28,19,15,34,true,https://en.wikipedia.org/wiki/Eddie_Genborg
2025-044-eddie-genborg,Eddie Genborg,false,Eddie Genborg,J20,Linköping HC,3,1,2,3,false,https://en.wikipedia.org/wiki/Eddie_Genborg
2025-044-eddie-genborg,Eddie Genborg,true,Eddie Genborg,SHL,Linköping HC,28,2,0,2,true,https://en.wikipedia.org/wiki/Eddie_Genborg
2025-053-cole-mckinney,Cole McKinney,false,Cole McKinney,USHL,U.S. National Development Team,23,15,11,26,true,https://en.wikipedia.org/wiki/Cole_McKinney
2025-055-jakob-ihs-wozniak,Jakob Ihs-Wozniak,true,Jakob Ihs-Wozniak,J20,Luleå HF,40,23,34,57,true,https://en.wikipedia.org/wiki/Jakob_Ihs-Wozniak
2025-055-jakob-ihs-wozniak,Jakob Ihs-Wozniak,true,Jakob Ihs-Wozniak,J20,Luleå HF,3,3,1,4,false,https://en.wikipedia.org/wiki/Jakob_Ihs-Wozniak
2025-055-jakob-ihs-wozniak,Jakob Ihs-Wozniak,false,Jakob Ihs-Wozniak,SHL,Luleå HF,13,1,1,2,true,https://en.wikipedia.org/wiki/Jakob_Ihs-Wozniak
2025-055-jakob-ihs-wozniak,Jakob Ihs-Wozniak,false,Jakob Ihs-Wozniak,SHL,Luleå HF,2,0,0,0,false,https://en.wikipedia.org/wiki/Jakob_Ihs-Wozniak
2025-060-lasse-boelius,Lasse Boelius,false,Lasse Boelius,U20,Porin Ässät,34,4,14,18,true,https://en.wikipedia.org/wiki/Lasse_Boelius
2025-060-lasse-boelius,Lasse Boelius,false,Lasse Boelius,U20,Porin Ässät,2,0,1,1,false,https://en.wikipedia.org/wiki/Lasse_Boelius
2025-060-lasse-boelius,Lasse Boelius,true,Lasse Boelius,Liiga,Porin Ässät,7,0,2,2,true,https://en.wikipedia.org/wiki/Lasse_Boelius
2025-062-ivan-ryabkin,Ivan Ryabkin,false,Ivan Ryabkin,MHL,MHC Dynamo Moscow,15,1,11,12,true,https://en.wikipedia.org/wiki/Ivan_Ryabkin
2025-062-ivan-ryabkin,Ivan Ryabkin,false,Ivan Ryabkin,KHL,Dynamo Moscow,2,0,0,0,true,https://en.wikipedia.org/wiki/Ivan_Ryabkin
2025-062-ivan-ryabkin,Ivan Ryabkin,false,Ivan Ryabkin,VHL,Dynamo St. Petersburg,8,0,2,2,true,https://en.wikipedia.org/wiki/Ivan_Ryabkin
2025-062-ivan-ryabkin,Ivan Ryabkin,false,Ivan Ryabkin,USHL,Muskegon Lumberjacks,27,19,11,30,true,https://en.wikipedia.org/wiki/Ivan_Ryabkin
2025-062-ivan-ryabkin,Ivan Ryabkin,false,Ivan Ryabkin,USHL,Muskegon Lumberjacks,14,7,9,16,false,https://en.wikipedia.org/wiki/Ivan_Ryabkin
2025-064-tinus-luc-koblar,Tinus Luc Koblar,false,Tinus Luc Koblar,J18,Leksands IF,5,2,5,7,true,https://en.wikipedia.org/wiki/Tinus_Luc_Koblar
2025-064-tinus-luc-koblar,Tinus Luc Koblar,true,Tinus Luc Koblar,J20,Leksands IF,43,8,13,21,true,https://en.wikipedia.org/wiki/Tinus_Luc_Koblar
2025-064-tinus-luc-koblar,Tinus Luc Koblar,true,Tinus Luc Koblar,J20,Leksands IF,7,4,0,4,false,https://en.wikipedia.org/wiki/Tinus_Luc_Koblar
2025-139-zeb-lindgren,Zeb Lindgren,true,Zeb Lindgren,J20,Skellefteå AIK,38,4,15,19,true,https://en.wikipedia.org/wiki/Zeb_Lindgren
2025-139-zeb-lindgren,Zeb Lindgren,true,Zeb Lindgren,J20,Skellefteå AIK,9,0,1,1,false,https://en.wikipedia.org/wiki/Zeb_Lindgren
2025-139-zeb-lindgren,Zeb Lindgren,false,Zeb Lindgren,SHL,Skellefteå AIK,5,0,0,0,true,https://en.wikipedia.org/wiki/Zeb_Lindgren
2025-144-ethan-wyttenbach,Ethan Wyttenbach,false,Ethan Wyttenbach,USHL,Sioux Falls Stampede,44,24,27,51,true,https://en.wikipedia.org/wiki/Ethan_Wyttenbach
2025-144-ethan-wyttenbach,Ethan Wyttenbach,false,Ethan Wyttenbach,USHL,Sioux Falls Stampede,4,1,3,4,false,https://en.wikipedia.org/wiki/Ethan_Wyttenbach
2025-218-loke-krantz,Loke Krantz,true,Loke Krantz,J20,Linköping HC,44,12,5,17,true,https://en.wikipedia.org/wiki/Loke_Krantz
2025-218-loke-krantz,Loke Krantz,true,Loke Krantz,J20,Linköping HC,3,1,0,1,false,https://en.wikipedia.org/wiki/Loke_Krantz
2025-221-filip-ekberg,Filip Ekberg,false,Filip Ekberg,OHL,Ottawa 67's,53,16,29,45,true,https://en.wikipedia.org/wiki/Filip_Ekberg
