player_id,draft_year,source,rank,scope,position,source_id,source_url
2016-047-samuel-girard,2016,draft_slot_proxy,47,all_drafted_players,D,2016-47,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-048-carter-hart,2016,draft_slot_proxy,48,all_drafted_players,G,2016-48,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-049-ryan-lindgren,2016,draft_slot_proxy,49,all_drafted_players,D,2016-49,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-050-artur-kayumov,2016,draft_slot_proxy,50,all_drafted_players,LW/RW,2016-50,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-051-kale-clague,2016,draft_slot_proxy,51,all_drafted_players,D,2016-51,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-052-wade-allison,2016,draft_slot_proxy,52,all_drafted_players,RW,2016-52,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-053-filip-hronek,2016,draft_slot_proxy,53,all_drafted_players,D,2016-53,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-054-tyler-parsons,2016,draft_slot_proxy,54,all_drafted_players,G,2016-54,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-055-filip-gustavsson,2016,draft_slot_proxy,55,all_drafted_players,G,2016-55,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-056-dillon-dube,2016,draft_slot_proxy,56,all_drafted_players,C,2016-56,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-057-carl-grundstrom,2016,draft_slot_proxy,57,all_drafted_players,RW,2016-57,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-058-taylor-raddysh,2016,draft_slot_proxy,58,all_drafted_players,RW,2016-58,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-059-evan-fitzpatrick,2016,draft_slot_proxy,59,all_drafted_players,G,2016-59,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-060-dylan-gambrell,2016,draft_slot_proxy,60,all_drafted_players,C,2016-60,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-061-kasper-bjorkqvist,2016,draft_slot_proxy,61,all_drafted_players,RW,2016-61,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-062-joseph-woll,2016,draft_slot_proxy,62,all_drafted_players,G,2016-62,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-063-markus-niemelainen,2016,draft_slot_proxy,63,all_drafted_players,D,2016-63,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-064-william-lockwood,2016,draft_slot_proxy,64,all_drafted_players,RW,2016-64,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-065-vitaly-abramov,2016,draft_slot_proxy,65,all_drafted_players,RW,2016-65,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-066-adam-fox,2016,draft_slot_proxy,66,all_drafted_players,D,2016-66,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-067-matt-filipe,2016,draft_slot_proxy,67,all_drafted_players,LW,2016-67,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-068-cam-dineen,2016,draft_slot_proxy,68,all_drafted_players,D,2016-68,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-069-cliff-pu,2016,draft_slot_proxy,69,all_drafted_players,RW,2016-69,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-070-william-bitten,2016,draft_slot_proxy,70,all_drafted_players,C,2016-70,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-071-josh-anderson,2016,draft_slot_proxy,71,all_drafted_players,D,2016-71,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-072-james-greenway,2016,draft_slot_proxy,72,all_drafted_players,D,2016-72,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-073-joey-anderson,2016,draft_slot_proxy,73,all_drafted_players,RW,2016-73,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-074-hudson-elynuik,2016,draft_slot_proxy,74,all_drafted_players,C,2016-74,https://api-web.nhle.com/v1/draft/picks/2016/all
