player_id,draft_year,horizon_years,outcome_through,nhl_games,nhl_points,nhl_toi_minutes,goalie_starts,value_proxy,source,source_id,source_url
2019-001-jack-hughes,2019,7,2026-06-30,429,428,8447.8,0,,nhl_public_api,8481559,https://api-web.nhle.com/v1/player/8481559/landing
2019-002-kaapo-kakko,2019,7,2026-06-30,444,201,6520.9,0,,nhl_public_api,8481554,https://api-web.nhle.com/v1/player/8481554/landing
2019-003-kirby-dach,2019,7,2026-06-30,306,136,5007.9,0,,nhl_public_api,8481523,https://api-web.nhle.com/v1/player/8481523/landing
2019-004-bowen-byram,2019,7,2026-06-30,328,152,6993.7,0,,nhl_public_api,8481524,https://api-web.nhle.com/v1/player/8481524/landing
2019-005-alex-turcotte,2019,7,2026-06-30,162,43,1773.3,0,,nhl_public_api,8481532,https://api-web.nhle.com/v1/player/8481532/landing
2019-006-moritz-seider,2019,7,2026-06-30,410,240,9781.2,0,,nhl_public_api,8481542,https://api-web.nhle.com/v1/player/8481542/landing
2019-007-dylan-cozens,2019,7,2026-06-30,444,272,7338.3,0,,nhl_public_api,8481528,https://api-web.nhle.com/v1/player/8481528/landing
2019-008-philip-broberg,2019,7,2026-06-30,230,76,4314.1,0,,nhl_public_api,8481598,https://api-web.nhle.com/v1/player/8481598/landing
2019-009-trevor-zegras,2019,7,2026-06-30,349,253,6254.1,0,,nhl_public_api,8481533,https://api-web.nhle.com/v1/player/8481533/landing
2019-010-vasily-podkolzin,2019,7,2026-06-30,301,96,4023.4,0,,nhl_public_api,8481617,https://api-web.nhle.com/v1/player/8481617/landing
2019-011-victor-soderstrom,2019,7,2026-06-30,61,12,966.4,0,,nhl_public_api,8481599,https://api-web.nhle.com/v1/player/8481599/landing
2019-012-matt-boldy,2019,7,2026-06-30,361,329,6866.6,0,,nhl_public_api,8481557,https://api-web.nhle.com/v1/player/8481557/landing
2019-013-spencer-knight,2019,7,2026-06-30,150,0,8612.0,140,,nhl_public_api,8481519,https://api-web.nhle.com/v1/player/8481519/landing
2019-014-cam-york,2019,7,2026-06-30,309,103,6586.7,0,,nhl_public_api,8481546,https://api-web.nhle.com/v1/player/8481546/landing
