player_id,draft_year,team_id,team_name,round_number,overall_pick,drafted_from_team,drafted_from_league,source,source_id,source_url
2019-001-jack-hughes,2019,NJD,New Jersey Devils,1,1,USA U-18,USHL,nhl_draft_api,2019-1,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-002-kaapo-kakko,2019,NYR,New York Rangers,1,2,TPS,FINLAND,nhl_draft_api,2019-2,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-003-kirby-dach,2019,CHI,Chicago Blackhawks,1,3,Saskatoon,WHL,nhl_draft_api,2019-3,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-004-bowen-byram,2019,COL,Colorado Avalanche,1,4,Vancouver,WHL,nhl_draft_api,2019-4,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-005-alex-turcotte,2019,LAK,Los Angeles Kings,1,5,USA U-18,USHL,nhl_draft_api,2019-5,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-006-moritz-seider,2019,DET,Detroit Red Wings,1,6,Mannheim,GERMANY,nhl_draft_api,2019-6,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-007-dylan-cozens,2019,BUF,Buffalo Sabres,1,7,Lethbridge,WHL,nhl_draft_api,2019-7,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-008-philip-broberg,2019,EDM,Edmonton Oilers,1,8,AIK,HockeyAllsvenskan,nhl_draft_api,2019-8,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-009-trevor-zegras,2019,ANA,Anaheim Ducks,1,9,USA U-18,USHL,nhl_draft_api,2019-9,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-010-vasily-podkolzin,2019,VAN,Vancouver Canucks,1,10,Neva St. Petersburg,RUSSIA-2,nhl_draft_api,2019-10,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-011-victor-soderstrom,2019,ARI,Arizona Coyotes,1,11,Brynas,SWEDEN,nhl_draft_api,2019-11,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-012-matt-boldy,2019,MIN,Minnesota Wild,1,12,USA U-18,USHL,nhl_draft_api,2019-12,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-013-spencer-knight,2019,FLA,Florida Panthers,1,13,USA U-18,USHL,nhl_draft_api,2019-13,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-014-cam-york,2019,PHI,Philadelphia Flyers,1,14,USA U-18,USHL,nhl_draft_api,2019-14,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-015-cole-caufield,2019,MTL,Montréal Canadiens,1,15,USA U-18,USHL,nhl_draft_api,2019-15,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-016-alex-newhook,2019,COL,Colorado Avalanche,1,16,Victoria,BCHL,nhl_draft_api,2019-16,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-017-peyton-krebs,2019,VGK,Vegas Golden Knights,1,17,Kootenay,WHL,nhl_draft_api,2019-17,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-018-thomas-harley,2019,DAL,Dallas Stars,1,18,Mississauga,OHL,nhl_draft_api,2019-18,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-019-lassi-thomson,2019,OTT,Ottawa Senators,1,19,Kelowna,WHL,nhl_draft_api,2019-19,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-020-ville-heinola,2019,WPG,Winnipeg Jets,1,20,Lukko,FINLAND,nhl_draft_api,2019-20,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-021-sam-poulin,2019,PIT,Pittsburgh Penguins,1,21,Sherbrooke,QMJHL,nhl_draft_api,2019-21,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-022-tobias-bjornfot,2019,LAK,Los Angeles Kings,1,22,Djurgarden Jr.,Sweden Jrs.,nhl_draft_api,2019-22,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-023-simon-holmstrom,2019,NYI,New York Islanders,1,23,HV 71 Jr.,Sweden Jrs.,nhl_draft_api,2019-23,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-024-philip-tomasino,2019,NSH,Nashville Predators,1,24,Niagara,OHL,nhl_draft_api,2019-24,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-025-connor-mcmichael,2019,WSH,Washington Capitals,1,25,London,OHL,nhl_draft_api,2019-25,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-026-jakob-pelletier,2019,CGY,Calgary Flames,1,26,Moncton,QMJHL,nhl_draft_api,2019-26,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-027-nolan-foote,2019,TBL,Tampa Bay Lightning,1,27,Kelowna,WHL,nhl_draft_api,2019-27,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-028-ryan-suzuki,2019,CAR,Carolina Hurricanes,1,28,Barrie,OHL,nhl_draft_api,2019-28,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-029-brayden-tracey,2019,ANA,Anaheim Ducks,1,29,Moose Jaw,WHL,nhl_draft_api,2019-29,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-030-john-beecher,2019,BOS,Boston Bruins,1,30,USA U-18,USHL,nhl_draft_api,2019-30,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-031-ryan-johnson,2019,BUF,Buffalo Sabres,1,31,Sioux Falls,USHL,nhl_draft_api,2019-31,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-032-shane-pinto,2019,OTT,Ottawa Senators,2,32,Tri-City,USHL,nhl_draft_api,2019-32,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-033-arthur-kaliyev,2019,LAK,Los Angeles Kings,2,33,Hamilton,OHL,nhl_draft_api,2019-33,https://api-web.nhle.com/v1/draft/picks/2019/all
2019-034-bobby-brink,2019,PHI,Philadelphia Flyers,2,34,Sioux City,USHL,nhl_draft_api,2019-34,https://api-web.nhle.com/v1/draft/picks/2019/all
