player_id,name,birth_date,nationality,position,handedness,height_cm,weight_kg,age_at_draft,source,source_id,source_url
2018-001-rasmus-dahlin,Rasmus Dahlin,,SWE,D,,188,84,,nhl_draft_api,2018-1,https://api-web.nhle.com/v1/draft/picks/2018/all
2018-002-andrei-svechnikov,Andrei Svechnikov,,RUS,RW,,188,87,,nhl_draft_api,2018-2,https://api-web.nhle.com/v1/draft/picks/2018/all
2018-003-jesperi-kotkaniemi,Jesperi Kotkaniemi,,FIN,C,,188,82,,nhl_draft_api,2018-3,https://api-web.nhle.com/v1/draft/picks/2018/all
2018-004-brady-tkachuk,Brady Tkachuk,,USA,LW,,190,87,,nhl_draft_api,2018-4,https://api-web.nhle.com/v1/draft/picks/2018/all
2018-005-barrett-hayton,Barrett Hayton,,CAN,C,,185,86,,nhl_draft_api,2018-5,https://api-web.nhle.com/v1/draft/picks/2018/all
2018-006-filip-zadina,Filip Zadina,,CZE,RW,,183,89,,nhl_draft_api,2018-6,https://api-web.nhle.com/v1/draft/picks/2018/all
2018-007-quinn-hughes,Quinn Hughes,,USA,D,,175,78,,nhl_draft_api,2018-7,https://api-web.nhle.com/v1/draft/picks/2018/all
2018-008-adam-boqvist,Adam Boqvist,,SWE,D,,180,75,,nhl_draft_api,2018-8,https://api-web.nhle.com/v1/draft/picks/2018/all
2018-009-vitali-kravtsov,Vitali Kravtsov,,RUS,RW,,188,83,,nhl_draft_api,2018-9,https://api-web.nhle.com/v1/draft/picks/2018/all
2018-010-evan-bouchard,Evan Bouchard,,CAN,D,,188,89,,nhl_draft_api,2018-10,https://api-web.nhle.com/v1/draft/picks/2018/all
2018-011-oliver-wahlstrom,Oliver Wahlstrom,,USA,RW,,185,94,,nhl_draft_api,2018-11,https://api-web.nhle.com/v1/draft/picks/2018/all
2018-012-noah-dobson,Noah Dobson,,CAN,D,,190,80,,nhl_draft_api,2018-12,https://api-web.nhle.com/v1/draft/picks/2018/all
2018-013-ty-dellandrea,Ty Dellandrea,,CAN,C,,183,83,,nhl_draft_api,2018-13,https://api-web.nhle.com/v1/draft/picks/2018/all
2018-014-joel-farabee,Joel Farabee,,USA,LW,,183,73,,nhl_draft_api,2018-14,https://api-web.nhle.com/v1/draft/picks/2018/all
