player_id,name,birth_date,nationality,position,handedness,height_cm,weight_kg,age_at_draft,source,source_id,source_url
2015-001-connor-mcdavid,Connor McDavid,,CAN,C,,183,88,,nhl_draft_api,2015-1,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-002-jack-eichel,Jack Eichel,,USA,C,,188,89,,nhl_draft_api,2015-2,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-003-dylan-strome,Dylan Strome,,CAN,C,,190,84,,nhl_draft_api,2015-3,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-004-mitch-marner,Mitch Marner,,CAN,C,,180,73,,nhl_draft_api,2015-4,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-005-noah-hanifin,Noah Hanifin,,USA,D,,188,92,,nhl_draft_api,2015-5,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-006-pavel-zacha,Pavel Zacha,,CZE,C,,190,95,,nhl_draft_api,2015-6,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-007-ivan-provorov,Ivan Provorov,,RUS,D,,183,91,,nhl_draft_api,2015-7,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-008-zach-werenski,Zach Werenski,,USA,D,,188,93,,nhl_draft_api,2015-8,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-009-timo-meier,Timo Meier,,CHE,RW,,185,95,,nhl_draft_api,2015-9,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-010-mikko-rantanen,Mikko Rantanen,,FIN,RW,,190,96,,nhl_draft_api,2015-10,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-011-lawson-crouse,Lawson Crouse,,CAN,LW,,193,98,,nhl_draft_api,2015-11,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-012-denis-gurianov,Denis Gurianov,,RUS,RW,,190,87,,nhl_draft_api,2015-12,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-013-jakub-zboril,Jakub Zboril,,CZE,D,,183,83,,nhl_draft_api,2015-13,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-014-jake-debrusk,Jake DeBrusk,,CAN,LW,,180,79,,nhl_draft_api,2015-14,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-015-zach-senyshyn,Zach Senyshyn,,CAN,RW,,185,87,,nhl_draft_api,2015-15,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-016-mathew-barzal,Mathew Barzal,,CAN,C,,180,79,,nhl_draft_api,2015-16,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-017-kyle-connor,Kyle Connor,,USA,LW,,185,80,,nhl_draft_api,2015-17,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-018-thomas-chabot,Thomas Chabot,,CAN,D,,185,82,,nhl_draft_api,2015-18,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-019-evgeny-svechnikov,Evgeny Svechnikov,,RUS,LW,,185,90,,nhl_draft_api,2015-19,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-020-joel-eriksson-ek,Joel Eriksson Ek,,SWE,C,,188,90,,nhl_draft_api,2015-20,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-021-colin-white,Colin White,,USA,C,,183,83,,nhl_draft_api,2015-21,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-022-ilya-samsonov,Ilya Samsonov,,RUS,G,,190,92,,nhl_draft_api,2015-22,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-023-brock-boeser,Brock Boeser,,USA,RW,,183,87,,nhl_draft_api,2015-23,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-024-travis-konecny,Travis Konecny,,CAN,C,,175,79,,nhl_draft_api,2015-24,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-025-jack-roslovic,Jack Roslovic,,USA,C,,183,83,,nhl_draft_api,2015-25,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-026-noah-juulsen,Noah Juulsen,,CAN,D,,185,79,,nhl_draft_api,2015-26,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-027-jacob-larsson,Jacob Larsson,,SWE,D,,188,87,,nhl_draft_api,2015-27,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-028-anthony-beauvillier,Anthony Beauvillier,,CAN,LW,,178,78,,nhl_draft_api,2015-28,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-029-gabriel-carlsson,Gabriel Carlsson,,SWE,D,,193,83,,nhl_draft_api,2015-29,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-030-nick-merkley,Nick Merkley,,CAN,RW,,178,87,,nhl_draft_api,2015-30,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-031-jeremy-roy,Jeremy Roy,,CAN,D,,183,85,,nhl_draft_api,2015-31,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-032-christian-fischer,Christian Fischer,,USA,RW,,185,96,,nhl_draft_api,2015-32,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-033-mitchell-stephens,Mitchell Stephens,,CAN,C,,180,85,,nhl_draft_api,2015-33,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-034-travis-dermott,Travis Dermott,,CAN,D,,180,89,,nhl_draft_api,2015-34,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-035-sebastian-aho,Sebastian Aho,,FIN,RW,,180,78,,nhl_draft_api,2015-35,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-036-gabriel-gagne,Gabriel Gagne,,CAN,RW,,193,84,,nhl_draft_api,2015-36,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-037-brandon-carlo,Brandon Carlo,,USA,D,,196,89,,nhl_draft_api,2015-37,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-038-paul-bittner,Paul Bittner,,USA,LW,,193,93,,nhl_draft_api,2015-38,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-039-a-j-greer,A.J. Greer,,CAN,LW,,190,93,,nhl_draft_api,2015-39,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-040-nicolas-meloche,Nicolas Meloche,,CAN,D,,188,93,,nhl_draft_api,2015-40,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-041-ryan-gropp,Ryan Gropp,,CAN,LW,,188,85,,nhl_draft_api,2015-41,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-042-mackenzie-blackwood,Mackenzie Blackwood,,CAN,G,,193,98,,nhl_draft_api,2015-42,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-043-erik-cernak,Erik Cernak,,SVK,D,,190,94,,nhl_draft_api,2015-43,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-044-matthew-spencer,Matthew Spencer,,CAN,D,,185,92,,nhl_draft_api,2015-44,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-045-jakob-forsbacka-karlsson,Jakob Forsbacka Karlsson,,SWE,C,,183,86,,nhl_draft_api,2015-45,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-046-daniel-sprong,Daniel Sprong,,NLD,RW,,183,82,,nhl_draft_api,2015-46,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-047-jansen-harkins,Jansen Harkins,,USA,C,,185,83,,nhl_draft_api,2015-47,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-048-filip-chlapik,Filip Chlapik,,CZE,C,,185,89,,nhl_draft_api,2015-48,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-049-roope-hintz,Roope Hintz,,FIN,LW,,190,87,,nhl_draft_api,2015-49,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-050-jordan-greenway,Jordan Greenway,,USA,LW,,198,103,,nhl_draft_api,2015-50,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-051-brendan-guhle,Brendan Guhle,,CAN,D,,185,83,,nhl_draft_api,2015-51,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-052-jeremy-lauzon,Jeremy Lauzon,,CAN,D,,185,88,,nhl_draft_api,2015-52,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-053-rasmus-andersson,Rasmus Andersson,,SWE,D,,183,96,,nhl_draft_api,2015-53,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-054-graham-knott,Graham Knott,,CAN,LW,,190,86,,nhl_draft_api,2015-54,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-055-yakov-trenin,Yakov Trenin,,RUS,C,,185,88,,nhl_draft_api,2015-55,https://api-web.nhle.com/v1/draft/picks/2015/all
2015-056-vince-dunn,Vince Dunn,,CAN,D,,180,85,,nhl_draft_api,2015-56,https://api-web.nhle.com/v1/draft/picks/2015/all
