name,season,league,team,games,goals,assists,points,regular_season,source,source_id,source_url,goalie_minutes,goals_against,save_percentage,goals_against_average,wins,losses,ties,shutouts
Roman Bausov,2024-25,MHL,St. Petersburg Dynamo Jr.,41,2,9,11,true,hockeydb,Roman Bausov,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=281327,,,,,,,
Artyom Gonchar,2023-24,MHL,Magnitogorsk Stalnye Lisy,28,1,4,5,true,hockeydb,Artyom Gonchar,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=281396,,,,,,,
Artyom Gonchar,2024-25,MHL,Magnitogorsk Stalnye Lisy,50,7,18,25,true,hockeydb,Artyom Gonchar,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=281396,,,,,,,
Ilyas Magomedsultanov,2023-24,MHL,Yaroslavl Loko Jr.,49,2,2,4,true,hockeydb,Ilyas Magomedsultanov,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=281537,,,,,,,
Ilyas Magomedsultanov,2023-24,MHL,Yaroslavl Loko-76,6,0,1,1,true,hockeydb,Ilyas Magomedsultanov,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=281537,,,,,,,
Ilyas Magomedsultanov,2024-25,MHL,Yaroslavl Loko Jr.,40,1,6,7,true,hockeydb,Ilyas Magomedsultanov,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=281537,,,,,,,
Ilyas Magomedsultanov,2024-25,MHL,Yaroslavl Loko-76,3,0,2,2,true,hockeydb,Ilyas Magomedsultanov,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=281537,,,,,,,
Roman Luttsev,2022-23,MHL,Yaroslavl Loko Jr.,32,3,7,10,true,hockeydb,Roman Luttsev,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=273338,,,,,,,
Roman Luttsev,2022-23,MHL,Yaroslavl Loko-76,19,4,7,11,true,hockeydb,Roman Luttsev,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=273338,,,,,,,
Roman Luttsev,2023-24,MHL,Yaroslavl Loko Jr.,36,9,18,27,true,hockeydb,Roman Luttsev,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=273338,,,,,,,
Roman Luttsev,2023-24,MHL,Yaroslavl Loko-76,7,4,5,9,true,hockeydb,Roman Luttsev,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=273338,,,,,,,
Roman Luttsev,2024-25,MHL,Yaroslavl Loko Jr.,50,30,33,63,true,hockeydb,Roman Luttsev,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=273338,,,,,,,
Roman Luttsev,2024-25,KHL,Yaroslavl Lokomotiv,3,0,0,0,true,hockeydb,Roman Luttsev,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=273338,,,,,,,
Roman Luttsev,2024-25,MHL,Yaroslavl Loko-76,1,0,3,3,true,hockeydb,Roman Luttsev,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=273338,,,,,,,
Roman Luttsev,2024-25,MHL,Loko Yaroslavl,8,2,1,3,false,eliteprospects-league-playoffs,2025-mhl-playoffs-roman-luttsev,https://www.eliteprospects.com/league/mhl/stats/2024-2025/playoffs,,,,,,,
Nikita Tyurin,2024-25,MHL,MHK Spartak Moskva,19,0,5,5,false,eliteprospects-league-playoffs,2025-mhl-playoffs-nikita-tyurin,https://www.eliteprospects.com/league/mhl/stats/2024-2025/playoffs,,,,,,,
Kirill Yemelyanov,2024-25,MHL,Loko Yaroslavl,8,4,4,8,false,eliteprospects-league-playoffs,2025-mhl-playoffs-kirill-yemelyanov,https://www.eliteprospects.com/league/mhl/stats/2024-2025/playoffs,,,,,,,
Dmitri Isayev,2024-25,MHL,Avto Yekaterinburg,5,2,2,4,false,eliteprospects-league-playoffs,2025-mhl-playoffs-dmitri-isayev,https://www.eliteprospects.com/league/mhl/stats/2024-2025/playoffs,,,,,,,
Yan Matveiko,2024-25,MHL,Krasnaya Armiya Moskva,6,1,3,4,false,eliteprospects-league-playoffs,2025-mhl-playoffs-yan-matveiko,https://www.eliteprospects.com/league/mhl/stats/2024-2025/playoffs,,,,,,,
Ivan Tkach-Tkachenko,2024-25,MHL,Tolpar Ufa,2,0,0,0,false,eliteprospects-league-playoffs,2025-mhl-playoffs-ivan-tkach-tkachenko,https://www.eliteprospects.com/league/mhl/stats/2024-2025/playoffs-qc,119,7,.883,3.54,0,2,0,0
