name,season,league,team,games,goals,assists,points,regular_season,source,source_id,source_url,goalie_minutes,shots_against,saves,goals_against,save_percentage,goals_against_average,wins,losses,ties,shutouts
Nikita Shcherbakov,2025-26,VHL,Toros Neftekamsk,35,4,6,10,true,eliteprospects_pdf,2026-ep-pdf-page-105,Draft26.pdf#page=105,,,,,,,,,,
Nikita Shcherbakov,2025-26,MHL,Tolpar Ufa,15,0,10,10,true,eliteprospects_pdf,2026-ep-pdf-page-105,Draft26.pdf#page=105,,,,,,,,,,
Nikita Shcherbakov,2025-26,KHL,Salavat Yulaev Ufa,7,0,0,0,true,eliteprospects_pdf,2026-ep-pdf-page-105,Draft26.pdf#page=105,,,,,,,,,,
Gleb Pugachyov,2025-26,MHL,Chaika Nizhny Novgorod,33,10,14,24,true,eliteprospects_pdf,2026-ep-pdf-page-137,Draft26.pdf#page=137,,,,,,,,,,
Gleb Pugachyov,2025-26,VHL,Torpedo-Gorky NN,15,1,4,5,true,eliteprospects_pdf,2026-ep-pdf-page-137,Draft26.pdf#page=137,,,,,,,,,,
Gleb Pugachyov,2025-26,KHL,Torpedo Nizhny Novgorod,13,2,1,3,true,eliteprospects_pdf,2026-ep-pdf-page-137,Draft26.pdf#page=137,,,,,,,,,,
Dmitri Borichev,2025-26,MHL,Loko-76 Yaroslavl,24,0,0,0,true,eliteprospects_pdf,2026-ep-pdf-page-141,Draft26.pdf#page=141,,,,,0.929,2.25,,,,3
Alan Shaikhlislamov,2025-26,MHL,Tolpar Ufa,31,18,17,35,true,eliteprospects_pdf,2026-ep-pdf-page-158,Draft26.pdf#page=158,,,,,,,,,,
Alan Shaikhlislamov,2025-26,KHL,Salavat Yulaev Ufa,1,0,0,0,true,eliteprospects_pdf,2026-ep-pdf-page-158,Draft26.pdf#page=158,,,,,,,,,,
Vladimir Proskurin,2025-26,MHL,MHK Atlant Mytishchi,41,0,0,0,true,eliteprospects_pdf,2026-ep-pdf-page-186,Draft26.pdf#page=186,,,,,0.921,2.97,,,,2
Yegor Rybkin,2025-26,MHL,Chaika Nizhny Novgorod,11,0,0,0,true,eliteprospects_pdf,2026-ep-pdf-page-249,Draft26.pdf#page=249,,,,,0.915,2.56,,,,0
Lavr Gashilov,2025-26,MHL,Avto Yekaterinburg,51,16,53,69,true,eliteprospects-league,2026-mhl-regular-lavr-gashilov,https://www.eliteprospects.com/league/mhl/stats/2025-2026,,,,,,,,,,
Lavr Gashilov,2025-26,MHL,Avto Yekaterinburg,15,3,5,8,false,eliteprospects-league,2026-mhl-playoffs-lavr-gashilov,https://www.eliteprospects.com/league/mhl/stats/2025-2026/playoffs,,,,,,,,,,
Artyom Matyuk,2025-26,MHL,Chaika Nizhny Novgorod,54,13,26,39,true,eliteprospects-league,2026-mhl-regular-artyom-matyuk,https://www.eliteprospects.com/league/mhl/stats/2025-2026,,,,,,,,,,
