name,nationality,season,league,team,games,goals,assists,points,regular_season,source,source_id,source_url,goalie_minutes,shots_against,saves,goals_against,save_percentage,goals_against_average,wins,losses,ties,shutouts
Alexander Volkov,RUS,2016-17,VHL,SKA-Neva St. Petersburg,15,3,0,3,true,wikipedia-career,2017-vhl-regular-alexander-volkov,https://en.wikipedia.org/wiki/Alexander_Volkov_(ice_hockey),,,,,,,,,,
Alexander Volkov,RUS,2016-17,VHL,SKA-Neva St. Petersburg,8,1,2,3,false,wikipedia-career,2017-vhl-playoffs-alexander-volkov,https://en.wikipedia.org/wiki/Alexander_Volkov_(ice_hockey),,,,,,,,,,
Alexander Volkov,RUS,2016-17,MHL,SKA-1946 St. Petersburg,16,6,5,11,true,wikipedia-career,2017-mhl-regular-alexander-volkov,https://en.wikipedia.org/wiki/Alexander_Volkov_(ice_hockey),,,,,,,,,,
Alexander Volkov,RUS,2016-17,MHL,SKA-1946 St. Petersburg,4,2,2,4,false,wikipedia-career,2017-mhl-playoffs-alexander-volkov,https://en.wikipedia.org/wiki/Alexander_Volkov_(ice_hockey),,,,,,,,,,
Alexey Lipanov,RUS,2016-17,VHL,Dynamo Balashikha,21,3,5,8,true,puckpedia-player,2017-vhl-regular-alexey-lipanov,https://puckpedia.com/player/alexei-lipanov,,,,,,,,,,
Alexey Lipanov,RUS,2016-17,VHL,Dynamo Balashikha,6,0,3,3,false,puckpedia-player,2017-vhl-playoffs-alexey-lipanov,https://puckpedia.com/player/alexei-lipanov,,,,,,,,,,
Alexey Lipanov,RUS,2016-17,MHL,MHK Dynamo Moscow,11,0,3,3,true,puckpedia-player,2017-mhl-regular-alexey-lipanov,https://puckpedia.com/player/alexei-lipanov,,,,,,,,,,
Alexey Toropchenko,RUS,2016-17,VHL,Dynamo Balashikha,1,0,0,0,true,wikipedia-career,2017-vhl-regular-alexey-toropchenko,https://en.wikipedia.org/wiki/Alexey_Toropchenko,,,,,,,,,,
Alexey Toropchenko,RUS,2016-17,MHL,HK MVD Balashikha,45,19,12,31,true,wikipedia-career,2017-mhl-regular-alexey-toropchenko,https://en.wikipedia.org/wiki/Alexey_Toropchenko,,,,,,,,,,
Andrei Altybarmakian,RUS,2016-17,MHL,SKA-Serebryanye Lvy St. Petersburg,31,20,25,45,true,wikipedia-career,2017-mhl-regular-andrei-altybarmakian,https://en.wikipedia.org/wiki/Andrei_Altybarmakyan,,,,,,,,,,
Andrei Svetlakov,RUS,2016-17,KHL,CSKA Moscow,37,4,12,16,true,wikipedia-career,2017-khl-regular-andrei-svetlakov,https://en.wikipedia.org/wiki/Andrei_Svetlakov,,,,,,,,,,
Andrei Svetlakov,RUS,2016-17,KHL,CSKA Moscow,10,3,0,3,false,wikipedia-career,2017-khl-playoffs-andrei-svetlakov,https://en.wikipedia.org/wiki/Andrei_Svetlakov,,,,,,,,,,
Daniil Tarasov,RUS,2015-16,MHL,Tolpar Ufa,9,0,0,0,true,quanthockey-player,2017-mhl-regular-daniil-tarasov,https://www.quanthockey.com/hockey-stats/en/profile.php?player=38211,282,147,135,12,.918,2.55,3,0,,0
Daniil Tarasov,RUS,2015-16,MHL,Tolpar Ufa,2,0,0,0,false,quanthockey-player,2017-mhl-playoffs-daniil-tarasov,https://www.quanthockey.com/hockey-stats/en/profile.php?player=38211,79,30,28,2,.933,1.52,0,2,,0
Igor Shvyrev,RUS,2016-17,KHL,Metallurg Magnitogorsk,10,0,0,0,true,wikipedia-career,2017-khl-regular-igor-shvyrev,https://en.wikipedia.org/wiki/Igor_Shvyrev,,,,,,,,,,
Igor Shvyrev,RUS,2016-17,MHL,Stalnye Lisy Magnitogorsk,40,21,49,70,true,wikipedia-career,2017-mhl-regular-igor-shvyrev,https://en.wikipedia.org/wiki/Igor_Shvyrev,,,,,,,,,,
Igor Shvyrev,RUS,2016-17,MHL,Stalnye Lisy Magnitogorsk,5,2,1,3,false,wikipedia-career,2017-mhl-playoffs-igor-shvyrev,https://en.wikipedia.org/wiki/Igor_Shvyrev,,,,,,,,,,
Klim Kostin,RUS,2016-17,KHL,Dynamo Moscow,8,0,0,0,true,wikipedia-career,2017-khl-regular-klim-kostin,https://en.wikipedia.org/wiki/Klim_Kostin,,,,,,,,,,
Klim Kostin,RUS,2016-17,VHL,Dynamo Balashikha,9,1,0,1,true,wikipedia-career,2017-vhl-regular-klim-kostin,https://en.wikipedia.org/wiki/Klim_Kostin,,,,,,,,,,
Klim Kostin,RUS,2016-17,MHL,HK MVD Balashikha,1,0,1,1,true,wikipedia-career,2017-mhl-regular-klim-kostin,https://en.wikipedia.org/wiki/Klim_Kostin,,,,,,,,,,
Vladislav Kara,RUS,2016-17,VHL,Bars Kazan,34,3,5,8,true,wikipedia-career,2017-vhl-regular-vladislav-kara,https://en.wikipedia.org/wiki/Vladislav_Kara,,,,,,,,,,
Vladislav Kara,RUS,2016-17,MHL,Irbis Kazan,31,11,9,20,true,wikipedia-career,2017-mhl-regular-vladislav-kara,https://en.wikipedia.org/wiki/Vladislav_Kara,,,,,,,,,,
Vladislav Kara,RUS,2016-17,MHL,Irbis Kazan,7,4,1,5,false,wikipedia-career,2017-mhl-playoffs-vladislav-kara,https://en.wikipedia.org/wiki/Vladislav_Kara,,,,,,,,,,
Yegor Zaitsev,RUS,2016-17,KHL,Dynamo Moscow,19,0,1,1,true,dynamo-history,2017-khl-regular-yegor-zaitsev,https://dynamo-history.ru/person/players/cart/z/zajtcev_egor/,,,,,,,,,,
Yegor Zaitsev,RUS,2016-17,KHL,Dynamo Moscow,2,0,0,0,false,dynamo-history,2017-khl-playoffs-yegor-zaitsev,https://dynamo-history.ru/person/players/cart/z/zajtcev_egor/,,,,,,,,,,
Yegor Zaitsev,RUS,2016-17,VHL,Dynamo Balashikha,24,2,4,6,true,dynamo-history,2017-vhl-regular-yegor-zaitsev,https://dynamo-history.ru/person/players/cart/z/zajtcev_egor/,,,,,,,,,,
Yegor Zaitsev,RUS,2016-17,VHL,Dynamo Balashikha,5,0,1,1,false,dynamo-history,2017-vhl-playoffs-yegor-zaitsev,https://dynamo-history.ru/person/players/cart/z/zajtcev_egor/,,,,,,,,,,
Yegor Zaitsev,RUS,2016-17,MHL,HK MVD Balashikha,2,0,1,1,true,dynamo-history,2017-mhl-regular-yegor-zaitsev,https://dynamo-history.ru/person/players/cart/z/zajtcev_egor/,,,,,,,,,,
