name,season,league,team,games,goals,assists,points,regular_season,source,source_id,source_url,goalie_minutes,shots_against,saves,goals_against,save_percentage,goals_against_average,wins,losses,ties,shutouts
Ilya Pautov,2023-24,MHL,Krasnaya Armiya Moscow,46,15,30,45,true,nhl-team-release,2024-mhl-regular-ilya-pautov,https://www.nhl.com/flyers/news/flyers-sign-ilya-pautov-to-entry-level-contract,,,,,,,,,,
Ivan Demidov,2023-24,MHL,SKA-1946 St. Petersburg,30,23,37,60,true,nhl-prospect-bios,2024-mhl-regular-ivan-demidov,https://media.nhl.com/site/asset/public/ext/2023-24/2024NHLDraft_ProspectProfiles.pdf#page=36,,,,,,,,,,
Ivan Demidov,2023-24,MHL,SKA-1946 St. Petersburg,17,11,17,28,false,nhl-prospect-bios,2024-mhl-playoffs-ivan-demidov,https://media.nhl.com/site/asset/public/ext/2023-24/2024NHLDraft_ProspectProfiles.pdf#page=36,,,,,,,,,,
Ivan Demidov,2023-24,KHL,SKA St. Petersburg,4,0,0,0,true,nhl-prospect-bios,2024-khl-regular-ivan-demidov,https://media.nhl.com/site/asset/public/ext/2023-24/2024NHLDraft_ProspectProfiles.pdf#page=36,,,,,,,,,,
Ivan Yunin,2023-24,MHL,Omskie Yastreby,6,0,0,0,true,quanthockey-player-goalie,2024-mhl-regular-ivan-yunin,https://www.quanthockey.com/hockey-stats/en/profile.php?player=150855,285,121,110,11,0.909,2.31,2,2,,0
Kirill Zarubin,2023-24,MHL,AKM-Yunior Tula,16,0,0,0,true,quanthockey-player-goalie,2024-mhl-regular-akm-kirill-zarubin,https://www.quanthockey.com/hockey-stats/en/profile.php?player=150919,876,644,581,63,0.902,4.32,4,11,,0
Kirill Zarubin,2023-24,MHL,Mikhailov Academy U20,29,0,0,0,true,quanthockey-player-goalie,2024-mhl-regular-mikhailov-kirill-zarubin,https://www.quanthockey.com/hockey-stats/en/profile.php?player=150919,1597,947,894,53,0.944,1.99,15,7,,5
Makar Khanin,2023-24,MHL,Dynamo St. Petersburg,7,7,2,9,true,quanthockey-player,2024-mhl-regular-makar-khanin,https://www.quanthockey.com/hockey-stats/en/profile.php?player=152325,,,,,,,,,,
Makar Khanin,2023-24,MHL,Dynamo St. Petersburg,7,0,2,2,false,quanthockey-player,2024-mhl-playoffs-makar-khanin,https://www.quanthockey.com/hockey-stats/en/profile.php?player=152325,,,,,,,,,,
Makar Khanin,2023-24,VHL,Dynamo St. Petersburg,35,9,18,27,true,quanthockey-player,2024-vhl-regular-makar-khanin,https://www.quanthockey.com/hockey-stats/en/profile.php?player=152325,,,,,,,,,,
Makar Khanin,2023-24,VHL,Dynamo St. Petersburg,3,0,0,0,false,quanthockey-player,2024-vhl-playoffs-makar-khanin,https://www.quanthockey.com/hockey-stats/en/profile.php?player=152325,,,,,,,,,,
Matvei Korotky,2023-24,MHL,SKA-1946 St. Petersburg,51,20,18,38,true,eliteprospects-league,2024-mhl-regular-matvei-korotky,https://www.eliteprospects.com/league/mhl/stats/2023-2024,,,,,,,,,,
Matvei Korotky,2023-24,MHL,SKA-1946 St. Petersburg,18,6,8,14,false,eliteprospects-league,2024-mhl-playoffs-matvei-korotky,https://www.eliteprospects.com/league/mhl/stats/2023-2024/playoffs,,,,,,,,,,
Matvei Shuravin,2023-24,MHL,Krasnaya Armiya Moscow,22,0,7,7,true,nhl-prospect-bios,2024-mhl-regular-matvei-shuravin,https://media.nhl.com/site/asset/public/ext/2023-24/2024NHLDraft_ProspectProfiles.pdf#page=43,,,,,,,,,,
Matvei Shuravin,2023-24,KHL,CSKA Moscow,11,0,2,2,true,nhl-prospect-bios,2024-khl-regular-matvei-shuravin,https://media.nhl.com/site/asset/public/ext/2023-24/2024NHLDraft_ProspectProfiles.pdf#page=43,,,,,,,,,,
Roman Shokhrin,2023-24,MHL,Yaroslavl junior system,36,2,12,14,true,nhl-team-draft-recap,2024-mhl-regular-roman-shokhrin,https://www.nhl.com/hurricanes/news/canes-pick-10-players-on-second-day-of-draft,,,,,,,,,,
Stepan Gorbunov,2023-24,MHL,Belye Medvedi Chelyabinsk,40,10,12,22,true,nhl-central-scouting,2024-mhl-regular-stepan-gorbunov,https://media.nhl.com/site/vasset/public/attachments/2024/04/17924/2024%20NHL%20CS%20Final%20Rankings%20-%20ITL%20Skaters.pdf,,,,,,,,,,
Timofei Obvintsev,2023-24,MHL,Krasnaya Armiya Moscow,16,0,0,0,true,quanthockey-player-goalie,2024-mhl-regular-timofei-obvintsev,https://www.quanthockey.com/hockey-stats/en/profile.php?player=134949,830,516,475,41,0.921,2.96,7,7,,0
Timofei Obvintsev,2023-24,MHL,Krasnaya Armiya Moscow,2,0,0,0,false,quanthockey-player-goalie,2024-mhl-playoffs-timofei-obvintsev,https://www.quanthockey.com/hockey-stats/en/profile.php?player=134949,117,65,59,6,0.908,3.07,0,2,,0
Timur Kol,2023-24,MHL,Omskie Yastreby,14,2,6,8,true,quanthockey-player,2024-mhl-regular-timur-kol,https://www.quanthockey.com/hockey-stats/en/profile.php?player=151212,,,,,,,,,,
Timur Kol,2023-24,MHL,Omskie Yastreby,8,3,2,5,false,puckpedia-career,2024-mhl-playoffs-timur-kol,https://puckpedia.com/player/timur-kol,,,,,,,,,,
Timur Kol,2023-24,VHL,Omskie Krylia,23,5,3,8,true,quanthockey-player,2024-vhl-regular-timur-kol,https://www.quanthockey.com/hockey-stats/en/profile.php?player=151212,,,,,,,,,,
Timur Kol,2023-24,KHL,Avangard Omsk,2,0,0,0,true,quanthockey-player,2024-khl-regular-timur-kol,https://www.quanthockey.com/hockey-stats/en/profile.php?player=151212,,,,,,,,,,
Yaroslav Korostelyov,2023-24,MHL,Akademiya SKA-Yunior,16,0,0,0,true,quanthockey-player-goalie,2024-mhl-regular-akademiya-yaroslav-korostelyov,https://www.quanthockey.com/hockey-stats/en/profile.php?player=132123,878,649,604,45,0.931,3.07,8,8,,2
Yaroslav Korostelyov,2023-24,MHL,SKA-1946 St. Petersburg,6,0,0,0,true,quanthockey-player-goalie,2024-mhl-regular-ska-yaroslav-korostelyov,https://www.quanthockey.com/hockey-stats/en/profile.php?player=132123,305,171,160,11,0.936,2.16,4,0,,1
Yaroslav Korostelyov,2023-24,MHL,SKA-1946 St. Petersburg,1,0,0,0,false,quanthockey-player-goalie,2024-mhl-playoffs-yaroslav-korostelyov,https://www.quanthockey.com/hockey-stats/en/profile.php?player=132123,31,11,9,2,0.818,3.88,0,1,,0
