name,season,league,team,games,goals,assists,points,regular_season,source,source_id,source_url,goalie_minutes,shots_against,saves,goals_against,save_percentage,goals_against_average,wins,losses,ties,shutouts
Aleksandr Kisakov,2020-21,MHL,MHC Dynamo Moscow,61,36,37,73,true,nhl-central-scouting,2021-mhl-regular-aleksandr-kisakov,https://media.nhl.com/site/vasset/public/attachments/2021/05/14983/ITL%20Skaters%20-%202021%20Draft%20Rankings.pdf,,,,,,,,,,
Aleksandr Kisakov,2020-21,MHL,MHC Dynamo Moscow,14,5,5,10,false,sabres-player-bio,2021-mhl-playoffs-aleksandr-kisakov,https://www.nhl.com/sabres/news/buffalo-sabres-sign-aleksandr-kisakov-entry-level-contract-333989788,,,,,,,,,,
Artem Grushnikov,2020-21,MHL,Krasnaya Armiya Moscow,0,0,0,0,true,nhl-central-scouting,2021-mhl-regular-artem-grushnikov,https://media.nhl.com/site/vasset/public/attachments/2021/05/14983/ITL%20Skaters%20-%202021%20Draft%20Rankings.pdf,,,,,,,,,,
Daniil Chayka,2020-21,KHL,CSKA Moscow,11,1,1,2,true,nhl-central-scouting,2021-khl-regular-daniil-chayka,https://media.nhl.com/site/vasset/public/attachments/2021/05/14983/ITL%20Skaters%20-%202021%20Draft%20Rankings.pdf,,,,,,,,,,
Daniil Pylenkov,2020-21,KHL,Vityaz Podolsk,54,5,14,19,true,nhl-central-scouting,2021-khl-regular-daniil-pylenkov,https://media.nhl.com/site/vasset/public/attachments/2021/05/14983/ITL%20Skaters%20-%202021%20Draft%20Rankings.pdf,,,,,,,,,,
Daniil Pylenkov,2020-21,KHL,Vityaz Podolsk,5,0,1,1,false,puckpedia-player,2021-khl-playoffs-daniil-pylenkov,https://puckpedia.com/player/daniil-pylenkov,,,,,,,,,,
Daniil Sobolev,2020-21,MHL,MHC Spartak Moscow,0,0,0,0,true,nhl-central-scouting,2021-mhl-regular-daniil-sobolev,https://media.nhl.com/site/vasset/public/attachments/2021/05/14983/ITL%20Skaters%20-%202021%20Draft%20Rankings.pdf,,,,,,,,,,
Dmitri Kostenko,2020-21,VHL,Lada Togliatti,40,1,9,10,true,nhl-central-scouting,2021-vhl-regular-dmitri-kostenko,https://media.nhl.com/site/vasset/public/attachments/2021/05/14983/ITL%20Skaters%20-%202021%20Draft%20Rankings.pdf,,,,,,,,,,
Dmitri Rashevsky,2020-21,VHL,Dynamo St. Petersburg / Krasnogorsk,30,12,10,22,true,eliteprospects-league,2021-vhl-regular-dmitri-rashevsky,https://www.eliteprospects.com/league/vhl/stats/2020-2021,,,,,,,,,,
Dmitri Rashevsky,2020-21,KHL,Dynamo Moscow,9,0,1,1,true,markerzone-player,2021-khl-regular-dmitri-rashevsky,https://www.markerzone.com/hockey/stats/nhl/player/Dmitri-Rashevsky-41937,,,,,,,,,,
Fedor Svechkov,2020-21,VHL,Lada Togliatti,38,5,10,15,true,nhl-prospect-bios,2021-vhl-regular-fedor-svechkov,https://media.nhl.com/site/asset/public/ext/nhl%20stats/ProspectBios2021_Text.pdf,,,,,,,,,,
Fedor Svechkov,2020-21,MHL,Ladiya Togliatti,15,4,11,15,true,nhl-prospect-bios,2021-mhl-regular-fedor-svechkov,https://media.nhl.com/site/asset/public/ext/nhl%20stats/ProspectBios2021_Text.pdf,,,,,,,,,,
Ilya Fedotov,2020-21,MHL,Chaika Nizhny Novgorod,54,18,20,38,true,nhl-central-scouting,2021-mhl-regular-ilya-fedotov,https://media.nhl.com/site/vasset/public/attachments/2021/05/14983/ITL%20Skaters%20-%202021%20Draft%20Rankings.pdf,,,,,,,,,,
Ilya Safonov,2020-21,KHL,Ak Bars Kazan,37,2,2,4,true,nhl-central-scouting,2021-khl-regular-ilya-safonov,https://media.nhl.com/site/vasset/public/attachments/2021/05/14983/ITL%20Skaters%20-%202021%20Draft%20Rankings.pdf,,,,,,,,,,
Ivan Vorobyov,2020-21,MHL,Mamonty Yugry,52,21,29,50,true,quanthockey-league,2021-mhl-regular-ivan-vorobyov,https://www.quanthockey.com/mhl/en/seasons/2020-21-mhl-players-stats.html,,,,,,,,,,
Kirill Gerasimyuk,2020-21,MHL,SKA-Varyagi St. Petersburg,27,0,0,0,true,first-star-scouting,2021-mhl-regular-kirill-gerasimyuk,https://firststarscouting.com/wp-content/uploads/2021/07/fs_2021guide-2.pdf,,,,,.931,2.59,,,,
Kirill Gerasimyuk,2020-21,VHL,SKA-Neva St. Petersburg,5,0,0,0,true,stanley-cap-player,2021-vhl-regular-kirill-gerasimyuk,https://thestanleycap.com/players/kirill-gerasimyuk-8482914,,,,,.913,2.66,,,,
Kirill Kirsanov,2020-21,KHL,SKA St. Petersburg,29,0,3,3,true,nhl-central-scouting,2021-khl-regular-kirill-kirsanov,https://media.nhl.com/site/vasset/public/attachments/2021/05/14983/ITL%20Skaters%20-%202021%20Draft%20Rankings.pdf,,,,,,,,,,
Kirill Tankov,2020-21,MHL,SKA-1946 / SKA-Varyagi St. Petersburg,60,19,25,44,true,quanthockey-league,2021-mhl-regular-kirill-tankov,https://www.quanthockey.com/mhl/en/seasons/2020-21-mhl-players-stats.html,,,,,,,,,,
Matvey Petrov,2020-21,MHL,Krylya Sovetov Moscow,58,22,20,42,true,nhl-central-scouting,2021-mhl-regular-matvey-petrov,https://media.nhl.com/site/vasset/public/attachments/2021/05/14983/ITL%20Skaters%20-%202021%20Draft%20Rankings.pdf,,,,,,,,,,
