draft_year,overall_pick,reason,source_url
2015,98,Reviewed official NHL player search returned no landing record for this drafted player,https://search.d3.nhle.com/api/v1/search/player?culture=en-us&limit=10&q=Samuel%20Dove-McFalls
2015,134,Reviewed official NHL player search returned no landing record for this drafted player,https://search.d3.nhle.com/api/v1/search/player?culture=en-us&limit=10&q=Matt%20Schmalz
2016,201,Reviewed official NHL player search returned no landing record for this drafted player,https://search.d3.nhle.com/api/v1/search/player?culture=en-us&limit=10&q=Ty%20Ronning
2017,83,Reviewed official NHL player search returned no landing record for this drafted player,https://search.d3.nhle.com/api/v1/search/player?culture=en-us&limit=10&q=Zach%20Gallant
2018,48,Reviewed official NHL player search returned no landing record for this drafted player,https://search.d3.nhle.com/api/v1/search/player?culture=en-us&limit=10&q=Jonathan%20Tychonick
2018,161,Reviewed official NHL player search returned no landing record for this drafted player,https://search.d3.nhle.com/api/v1/search/player?culture=en-us&limit=10&q=Alex%20Kannok-Leipert
