name,season,league,team,games,goals,assists,points,regular_season,source,source_id,source_url,goalie_minutes,shots_against,saves,goals_against,save_percentage,goals_against_average,wins,losses,ties,shutouts
Alexander Pelevin,2021-22,MHL,Chaika Nizhny Novgorod,29,3,5,8,true,canes-prospect-bio,2022-mhl-regular-alexander-pelevin,https://canespr.com/alexanderpelevin/,,,,,,,,,,
Alexander Pelevin,2021-22,MHL,Chaika Nizhny Novgorod,10,0,3,3,false,canes-prospect-bio,2022-mhl-playoffs-alexander-pelevin,https://canespr.com/alexanderpelevin/,,,,,,,,,,
Alexander Pelevin,2021-22,VHL,AKM Novomoskovsk,2,0,0,0,true,canes-prospect-bio,2022-vhl-regular-alexander-pelevin,https://canespr.com/alexanderpelevin/,,,,,,,,,,
Alexander Pelevin,2021-22,KHL,Torpedo Nizhny Novgorod,1,0,0,0,true,canes-prospect-bio,2022-khl-regular-alexander-pelevin,https://canespr.com/alexanderpelevin/,,,,,,,,,,
Alexander Perevalov,2021-22,MHL,Loko Yaroslavl,42,25,25,50,true,nhl-prospect-bios,2022-mhl-regular-alexander-perevalov,https://media.nhl.com/site/asset/public/ext/2021-22/ProspectBios_2022_NHL_Draft_Full.pdf#page=64,,,,,,,,,,
Arseni Koromyslov,2021-22,MHL,SKA-1946 St. Petersburg,42,4,15,19,true,ska-player-profile,2022-mhl-regular-arseni-koromyslov,https://1946.ska.ru/team/roster/player/35394/,,,,,,,,,,
Arseni Koromyslov,2021-22,MHL,SKA-1946 St. Petersburg,17,1,5,6,false,ska-player-profile,2022-mhl-playoffs-arseni-koromyslov,https://1946.ska.ru/team/roster/player/35394/,,,,,,,,,,
Artem Barabosha,2021-22,MHL,Krasnaya Armiya Moscow,45,4,7,11,true,quanthockey-player,2022-mhl-regular-artem-barabosha,https://www.quanthockey.com/hockey-stats/en/profile.php?player=122516,,,,,,,,,,
Artem Duda,2021-22,MHL,Krasnaya Armiya Moscow,52,14,27,41,true,dobber-prospects,2022-mhl-regular-artem-duda,https://dobberprospects.com/player/artyom-duda/,,,,,,,,,,
Artem Duda,2021-22,VHL,Zvezda Moscow,4,0,0,0,true,draft-guide,2022-vhl-regular-artem-duda,https://toutsurlehockey.com/wp-content/uploads/2022/06/tslh-espoirs-le-guidevf2.pdf,,,,,,,,,,
Daniil Orlov,2021-22,MHL,Sakhalinskie Akuly,54,9,21,30,true,quanthockey-player,2022-mhl-regular-daniil-orlov,https://www.quanthockey.com/hockey-stats/en/profile.php?player=116216,,,,,,,,,,
Danila Yurov,2021-22,MHL,Stalnye Lisy Magnitogorsk,23,13,23,36,true,nhl-prospect-bios,2022-mhl-regular-danila-yurov,https://media.nhl.com/site/asset/public/ext/2021-22/ProspectBios_2022_NHL_Draft_Full.pdf#page=57,,,,,,,,,,
Danila Yurov,2021-22,MHL,Stalnye Lisy Magnitogorsk,2,1,0,1,false,wikipedia-career,2022-mhl-playoffs-danila-yurov,https://en.wikipedia.org/wiki/Danila_Yurov,,,,,,,,,,
Danila Yurov,2021-22,KHL,Metallurg Magnitogorsk,21,0,0,0,true,nhl-prospect-bios,2022-khl-regular-danila-yurov,https://media.nhl.com/site/asset/public/ext/2021-22/ProspectBios_2022_NHL_Draft_Full.pdf#page=57,,,,,,,,,,
Danila Yurov,2021-22,KHL,Metallurg Magnitogorsk,19,0,0,0,false,nhl-prospect-bios,2022-khl-playoffs-danila-yurov,https://media.nhl.com/site/asset/public/ext/2021-22/ProspectBios_2022_NHL_Draft_Full.pdf#page=57,,,,,,,,,,
Dmitri Buchelnikov,2021-22,MHL,SKA-1946 St. Petersburg,56,41,34,75,true,eliteprospects-league,2022-mhl-regular-dmitri-buchelnikov,https://www.eliteprospects.com/league/mhl/stats/2021-2022,,,,,,,,,,
