name,nationality,season,league,team,games,goals,assists,points,regular_season,source,source_id,source_url,goalie_minutes,shots_against,saves,goals_against,save_percentage,goals_against_average,wins,losses,ties,shutouts
Anatolii Golyshev,RUS,2015-16,KHL,Avtomobilist Yekaterinburg,56,25,19,44,true,wikipedia-career,2016-khl-regular-anatolii-golyshev,https://en.wikipedia.org/wiki/Anatolii_Golyshev,,,,,,,,,,
Anatolii Golyshev,RUS,2015-16,KHL,Avtomobilist Yekaterinburg,6,1,0,1,false,wikipedia-career,2016-khl-playoffs-anatolii-golyshev,https://en.wikipedia.org/wiki/Anatolii_Golyshev,,,,,,,,,,
Artur Kayumov,RUS,2015-16,MHL,Team Russia U18,39,12,19,31,true,wikipedia-career,2016-mhl-regular-artur-kayumov,https://en.wikipedia.org/wiki/Artur_Kayumov,,,,,,,,,,
Artur Kayumov,RUS,2015-16,MHL,Team Russia U18,3,0,1,1,false,wikipedia-career,2016-mhl-playoffs-artur-kayumov,https://en.wikipedia.org/wiki/Artur_Kayumov,,,,,,,,,,
Egor Korshkov,RUS,2015-16,KHL,Lokomotiv Yaroslavl,41,6,6,12,true,wikipedia-career,2016-khl-regular-egor-korshkov,https://en.wikipedia.org/wiki/Yegor_Korshkov,,,,,,,,,,
Egor Korshkov,RUS,2015-16,KHL,Lokomotiv Yaroslavl,4,0,0,0,false,wikipedia-career,2016-khl-playoffs-egor-korshkov,https://en.wikipedia.org/wiki/Yegor_Korshkov,,,,,,,,,,
Egor Korshkov,RUS,2015-16,MHL,Loko Yaroslavl,4,2,4,6,true,wikipedia-career,2016-mhl-regular-egor-korshkov,https://en.wikipedia.org/wiki/Yegor_Korshkov,,,,,,,,,,
Egor Korshkov,RUS,2015-16,MHL,Loko Yaroslavl,15,9,10,19,false,wikipedia-career,2016-mhl-playoffs-egor-korshkov,https://en.wikipedia.org/wiki/Yegor_Korshkov,,,,,,,,,,
German Rubtsov,RUS,2015-16,MHL,Team Russia U18,28,12,14,26,true,wikipedia-career,2016-mhl-regular-german-rubtsov,https://en.wikipedia.org/wiki/German_Rubtsov,,,,,,,,,,
German Rubtsov,RUS,2015-16,MHL,Team Russia U18,3,0,1,1,false,wikipedia-career,2016-mhl-playoffs-german-rubtsov,https://en.wikipedia.org/wiki/German_Rubtsov,,,,,,,,,,
