name,nationality,season,league,team,games,goals,assists,points,regular_season,source,source_id,source_url,goalie_minutes,shots_against,saves,goals_against,save_percentage,goals_against_average,wins,losses,ties,shutouts
Alexander Romanov,RUS,2017-18,MHL,Krasnaya Armiya Moscow,37,7,7,14,true,quanthockey-player,2018-mhl-regular-alexander-romanov,https://www.quanthockey.com/hockey-stats/en/profile.php?player=48962,,,,,,,,,,
Artyom Manukyan,RUS,2017-18,MHL,Omskie Yastreby,43,11,12,23,true,cap-space-player,2018-mhl-regular-artyom-manukyan,https://cap-space.com/person/artyom-manukyan-1707,,,,,,,,,,
Artyom Manukyan,RUS,2017-18,MHL,Omskie Yastreby,7,0,0,0,false,cap-space-player,2018-mhl-playoffs-artyom-manukyan,https://cap-space.com/person/artyom-manukyan-1707,,,,,,,,,,
Bulat Shafigullin,RUS,2017-18,KHL,Neftekhimik Nizhnekamsk,17,0,2,2,true,nhl-club-media-guide,2018-khl-regular-bulat-shafigullin,https://media.d3.nhle.com/image/private/t_document/prd/bhnpiwbdxzoqnjh9ssl0.pdf,,,,,,,,,,
Bulat Shafigullin,RUS,2017-18,KHL,Neftekhimik Nizhnekamsk,1,0,0,0,false,nhl-club-media-guide,2018-khl-playoffs-bulat-shafigullin,https://media.d3.nhle.com/image/private/t_document/prd/bhnpiwbdxzoqnjh9ssl0.pdf,,,,,,,,,,
Bulat Shafigullin,RUS,2017-18,MHL,Reaktor Nizhnekamsk,22,20,16,36,true,eliteprospects-league,2018-mhl-regular-bulat-shafigullin,https://www.eliteprospects.com/league/mhl/stats/2017-2018,,,,,,,,,,
Bulat Shafigullin,RUS,2017-18,MHL,Reaktor Nizhnekamsk,9,4,11,15,false,eliteprospects-league,2018-mhl-playoffs-bulat-shafigullin,https://www.eliteprospects.com/league/mhl/stats/2017-2018/playoffs,,,,,,,,,,
Danila Zhuravlyov,RUS,2017-18,VHL,Bars Kazan,11,1,1,2,true,puckpedia-player,2018-vhl-regular-danila-zhuravlyov,https://puckpedia.com/player/danila-zhuravlyov,,,,,,,,,,
Danila Zhuravlyov,RUS,2017-18,MHL,Irbis Kazan,28,9,9,18,true,puckpedia-player,2018-mhl-regular-danila-zhuravlyov,https://puckpedia.com/player/danila-zhuravlyov,,,,,,,,,,
Danila Zhuravlyov,RUS,2017-18,MHL,Irbis Kazan,5,0,1,1,false,puckpedia-player,2018-mhl-playoffs-danila-zhuravlyov,https://puckpedia.com/player/danila-zhuravlyov,,,,,,,,,,
Dmitry Semykin,RUS,2017-18,MHL,Kapitan Stupino,41,8,7,15,true,puckpedia-player,2018-mhl-regular-dmitry-semykin,https://puckpedia.com/player/dmitry-semykin,,,,,,,,,,
Grigori Denisenko,RUS,2017-18,KHL,Lokomotiv Yaroslavl,4,0,0,0,false,khl-feature,2018-khl-playoffs-grigori-denisenko,https://en.khl.ru/news/2019/03/05/434204.html,,,,,,,,,,
Grigori Denisenko,RUS,2017-18,MHL,Loko Yaroslavl,31,9,13,22,true,wikipedia-career,2018-mhl-regular-grigori-denisenko,https://en.wikipedia.org/wiki/Grigori_Denisenko,,,,,,,,,,
Grigori Denisenko,RUS,2017-18,MHL,Loko Yaroslavl,12,5,2,7,false,wikipedia-career,2018-mhl-playoffs-grigori-denisenko,https://en.wikipedia.org/wiki/Grigori_Denisenko,,,,,,,,,,
Ivan Morozov,RUS,2017-18,MHL,Mamonty Yugry,30,11,12,23,true,wikipedia-career,2018-mhl-regular-ivan-morozov,https://en.wikipedia.org/wiki/Ivan_Morozov_(ice_hockey),,,,,,,,,,
Ivan Morozov,RUS,2017-18,MHL,Mamonty Yugry,7,2,3,5,false,wikipedia-career,2018-mhl-playoffs-ivan-morozov,https://en.wikipedia.org/wiki/Ivan_Morozov_(ice_hockey),,,,,,,,,,
Kirill Marchenko,RUS,2017-18,MHL,Mamonty Yugry,31,8,8,16,true,cap-space-player,2018-mhl-regular-kirill-marchenko,https://www.cap-space.com/person/kirill-marchenko-1817,,,,,,,,,,
Kirill Marchenko,RUS,2017-18,MHL,Mamonty Yugry,8,4,3,7,false,cap-space-player,2018-mhl-playoffs-kirill-marchenko,https://www.cap-space.com/person/kirill-marchenko-1817,,,,,,,,,,
Nikolai Kovalenko,USA,2017-18,KHL,Lokomotiv Yaroslavl,2,0,0,0,true,nhl-club-media-guide,2018-khl-regular-nikolai-kovalenko,https://media.d3.nhle.com/image/private/t_document/prd/fm6mytyqc85sfmvpcsqf.pdf,,,,,,,,,,
Nikolai Kovalenko,USA,2017-18,KHL,Lokomotiv Yaroslavl,4,0,0,0,false,nhl-club-media-guide,2018-khl-playoffs-nikolai-kovalenko,https://media.d3.nhle.com/image/private/t_document/prd/fm6mytyqc85sfmvpcsqf.pdf,,,,,,,,,,
Nikolai Kovalenko,USA,2017-18,MHL,Loko Yaroslavl,33,10,21,31,true,nhl-club-media-guide,2018-mhl-regular-nikolai-kovalenko,https://media.d3.nhle.com/image/private/t_document/prd/fm6mytyqc85sfmvpcsqf.pdf,,,,,,,,,,
Nikolai Kovalenko,USA,2017-18,MHL,Loko Yaroslavl,13,1,11,12,false,nhl-club-media-guide,2018-mhl-playoffs-nikolai-kovalenko,https://media.d3.nhle.com/image/private/t_document/prd/fm6mytyqc85sfmvpcsqf.pdf,,,,,,,,,,
Pavel Shen,RUS,2017-18,KHL,Yugra Khanty-Mansiysk,29,2,0,2,true,nhl-club-profile,2018-khl-regular-pavel-shen,https://www.nhl.com/bruins/news/getting-to-know-pavel-shen-299240056,,,,,,,,,,
Pavel Shen,RUS,2017-18,MHL,Mamonty Yugry,29,12,14,26,true,nhl-club-profile,2018-mhl-regular-pavel-shen,https://www.nhl.com/bruins/news/getting-to-know-pavel-shen-299240056,,,,,,,,,,
Pavel Shen,RUS,2017-18,MHL,Mamonty Yugry,8,3,2,5,false,nhl-club-profile,2018-mhl-playoffs-pavel-shen,https://www.nhl.com/bruins/news/getting-to-know-pavel-shen-299240056,,,,,,,,,,
Ruslan Iskhakov,RUS,2017-18,MHL,Krasnaya Armiya Moscow,33,6,24,30,true,nhl-club-media-guide,2018-mhl-regular-ruslan-iskhakov,https://media.d3.nhle.com/image/private/t_document/prd/iv83po0frwwcsbmodr6d.pdf,,,,,,,,,,
Semyon Kizimov,RUS,2017-18,MHL,Ladia Togliatti,30,6,12,18,true,fchockey-player,2018-mhl-regular-semyon-kizimov,https://nhlentrydraft.com/players/semyon-kizimov/,,,,,,,,,,
Shamil Shmakov,RUS,2017-18,MHL,Sibirskie Snaipery Novosibirsk,51,0,0,0,true,quanthockey-league,2018-mhl-regular-shamil-shmakov,https://www.quanthockey.com/mhl/en/seasons/2017-18-mhl-goalies-stats.html,2871,1437,1340,97,.932,2.03,36,11,,6
Vitali Kravtsov,RUS,2017-18,KHL,Traktor Chelyabinsk,35,4,3,7,true,wikipedia-career,2018-khl-regular-vitali-kravtsov,https://en.wikipedia.org/wiki/Vitali_Kravtsov,,,,,,,,,,
Vitali Kravtsov,RUS,2017-18,KHL,Traktor Chelyabinsk,16,6,5,11,false,wikipedia-career,2018-khl-playoffs-vitali-kravtsov,https://en.wikipedia.org/wiki/Vitali_Kravtsov,,,,,,,,,,
Vitali Kravtsov,RUS,2017-18,VHL,Chelmet Chelyabinsk,9,4,3,7,true,wikipedia-career,2018-vhl-regular-vitali-kravtsov,https://fr.wikipedia.org/wiki/Vitali_Kravtsov,,,,,,,,,,
Vitali Kravtsov,RUS,2017-18,MHL,Belye Medvedi Chelyabinsk,1,1,2,3,true,wikipedia-career,2018-mhl-regular-vitali-kravtsov,https://fr.wikipedia.org/wiki/Vitali_Kravtsov,,,,,,,,,,
Vitali Kravtsov,RUS,2017-18,MHL,Belye Medvedi Chelyabinsk,2,1,3,4,false,wikipedia-career,2018-mhl-playoffs-vitali-kravtsov,https://fr.wikipedia.org/wiki/Vitali_Kravtsov,,,,,,,,,,
