player_id,name,birth_date,nationality,position,handedness,height_cm,weight_kg,age_at_draft,source,source_id,source_url
2020-001-alexis-lafreni-re,Alexis Lafrenière,,CAN,LW,,185,88,,nhl_draft_api,2020-1,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-002-quinton-byfield,Quinton Byfield,,CAN,C,,193,98,,nhl_draft_api,2020-2,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-003-tim-st-tzle,Tim Stützle,,DEU,LW,,185,85,,nhl_draft_api,2020-3,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-004-lucas-raymond,Lucas Raymond,,SWE,LW,,180,77,,nhl_draft_api,2020-4,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-005-jake-sanderson,Jake Sanderson,,USA,D,,185,84,,nhl_draft_api,2020-5,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-006-jamie-drysdale,Jamie Drysdale,,CAN,D,,180,79,,nhl_draft_api,2020-6,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-007-alexander-holtz,Alexander Holtz,,SWE,RW,,180,87,,nhl_draft_api,2020-7,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-008-jack-quinn,Jack Quinn,,CAN,RW,,183,80,,nhl_draft_api,2020-8,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-009-marco-rossi,Marco Rossi,,AUT,C,,175,83,,nhl_draft_api,2020-9,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-010-cole-perfetti,Cole Perfetti,,CAN,C,,178,80,,nhl_draft_api,2020-10,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-011-yaroslav-askarov,Yaroslav Askarov,,RUS,G,,190,80,,nhl_draft_api,2020-11,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-012-anton-lundell,Anton Lundell,,FIN,C,,185,84,,nhl_draft_api,2020-12,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-013-seth-jarvis,Seth Jarvis,,CAN,C,,175,79,,nhl_draft_api,2020-13,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-014-dylan-holloway,Dylan Holloway,,CAN,C,,183,92,,nhl_draft_api,2020-14,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-015-rodion-amirov,Rodion Amirov,,RUS,LW,,183,80,,nhl_draft_api,2020-15,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-016-kaiden-guhle,Kaiden Guhle,,CAN,D,,188,84,,nhl_draft_api,2020-16,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-017-lukas-reichel,Lukas Reichel,,DEU,LW,,183,77,,nhl_draft_api,2020-17,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-018-dawson-mercer,Dawson Mercer,,CAN,C,,183,82,,nhl_draft_api,2020-18,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-019-braden-schneider,Braden Schneider,,CAN,D,,188,92,,nhl_draft_api,2020-19,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-020-shakir-mukhamadullin,Shakir Mukhamadullin,,RUS,D,,190,81,,nhl_draft_api,2020-20,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-021-egor-chinakhov,Egor Chinakhov,,RUS,RW,,183,81,,nhl_draft_api,2020-21,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-022-hendrix-lapierre,Hendrix Lapierre,,CAN,C,,180,81,,nhl_draft_api,2020-22,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-023-tyson-foerster,Tyson Foerster,,CAN,RW,,185,88,,nhl_draft_api,2020-23,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-024-connor-zary,Connor Zary,,CAN,C,,183,81,,nhl_draft_api,2020-24,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-025-justin-barron,Justin Barron,,CAN,D,,185,88,,nhl_draft_api,2020-25,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-026-jake-neighbours,Jake Neighbours,,CAN,LW,,180,88,,nhl_draft_api,2020-26,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-027-jacob-perreault,Jacob Perreault,,CAN,RW,,180,87,,nhl_draft_api,2020-27,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-028-ridly-greig,Ridly Greig,,CAN,C,,180,74,,nhl_draft_api,2020-28,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-029-brendan-brisson,Brendan Brisson,,USA,C,,178,81,,nhl_draft_api,2020-29,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-030-mavrik-bourque,Mavrik Bourque,,CAN,C,,178,81,,nhl_draft_api,2020-30,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-031-ozzy-wiesblatt,Ozzy Wiesblatt,,CAN,C,,175,83,,nhl_draft_api,2020-31,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-032-william-wallinder,William Wallinder,,SWE,D,,193,87,,nhl_draft_api,2020-32,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-033-roby-jarventie,Roby Jarventie,,FIN,LW,,188,87,,nhl_draft_api,2020-33,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-034-jj-peterka,JJ Peterka,,DEU,RW,,180,87,,nhl_draft_api,2020-34,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-035-helge-grans,Helge Grans,,SWE,D,,188,93,,nhl_draft_api,2020-35,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-036-sam-colangelo,Sam Colangelo,,USA,RW,,185,93,,nhl_draft_api,2020-36,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-037-marat-khusnutdinov,Marat Khusnutdinov,,RUS,C,,180,80,,nhl_draft_api,2020-37,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-038-thomas-bordeleau,Thomas Bordeleau,,USA,C,,175,79,,nhl_draft_api,2020-38,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-039-ryan-o-rourke,Ryan O'Rourke,,CAN,D,,183,81,,nhl_draft_api,2020-39,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-040-daniel-torgersson,Daniel Torgersson,,SWE,LW,,188,90,,nhl_draft_api,2020-40,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-041-noel-gunler,Noel Gunler,,SWE,RW,,188,80,,nhl_draft_api,2020-41,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-042-luke-evangelista,Luke Evangelista,,CAN,RW,,180,75,,nhl_draft_api,2020-42,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-043-emil-heineman,Emil Heineman,,SWE,LW,,185,84,,nhl_draft_api,2020-43,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-044-tyler-kleven,Tyler Kleven,,USA,D,,193,91,,nhl_draft_api,2020-44,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-045-brock-faber,Brock Faber,,USA,D,,183,86,,nhl_draft_api,2020-45,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-046-drew-commesso,Drew Commesso,,USA,G,,188,82,,nhl_draft_api,2020-46,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-047-luke-tuch,Luke Tuch,,USA,LW,,188,92,,nhl_draft_api,2020-47,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-048-jan-mysak,Jan Mysak,,CZE,C,,178,79,,nhl_draft_api,2020-48,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-050-yan-kuznetsov,Yan Kuznetsov,,RUS,D,,193,95,,nhl_draft_api,2020-50,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-051-theodor-niederbach,Theodor Niederbach,,SWE,C,,180,78,,nhl_draft_api,2020-51,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-052-joel-blomqvist,Joel Blomqvist,,FIN,G,,185,83,,nhl_draft_api,2020-52,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-053-vasily-ponomarev,Vasily Ponomarev,,RUS,C,,178,82,,nhl_draft_api,2020-53,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-054-emil-andrae,Emil Andrae,,SWE,D,,173,82,,nhl_draft_api,2020-54,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-055-cross-hanas,Cross Hanas,,USA,LW,,183,76,,nhl_draft_api,2020-55,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-056-tristen-robins,Tristen Robins,,GBR,C,,178,80,,nhl_draft_api,2020-56,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-057-jack-finley,Jack Finley,,USA,C,,196,97,,nhl_draft_api,2020-57,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-058-mason-lohrei,Mason Lohrei,,USA,D,,190,88,,nhl_draft_api,2020-58,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-059-roni-hirvonen,Roni Hirvonen,,FIN,C,,175,77,,nhl_draft_api,2020-59,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-060-will-cuylle,Will Cuylle,,CAN,LW,,188,93,,nhl_draft_api,2020-60,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-061-egor-sokolov,Egor Sokolov,,RUS,LW,,193,107,,nhl_draft_api,2020-61,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-062-gage-goncalves,Gage Goncalves,,CAN,C,,183,75,,nhl_draft_api,2020-62,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-063-donovan-sebrango,Donovan Sebrango,,CAN,D,,185,86,,nhl_draft_api,2020-63,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-064-topi-niemela,Topi Niemela,,FIN,D,,180,73,,nhl_draft_api,2020-64,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-065-daemon-hunt,Daemon Hunt,,CAN,D,,183,90,,nhl_draft_api,2020-65,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-066-kasper-simontaival,Kasper Simontaival,,FIN,RW,,170,81,,nhl_draft_api,2020-66,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-067-ian-moore,Ian Moore,,USA,D,,188,78,,nhl_draft_api,2020-67,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-068-lukas-cormier,Lukas Cormier,,CAN,D,,175,82,,nhl_draft_api,2020-68,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-069-alexander-nikishin,Alexander Nikishin,,RUS,D,,190,89,,nhl_draft_api,2020-69,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-070-eemil-viro,Eemil Viro,,FIN,D,,183,76,,nhl_draft_api,2020-70,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-071-leevi-meril-inen,Leevi Meriläinen,,FIN,G,,188,72,,nhl_draft_api,2020-71,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-072-jeremie-poirier,Jeremie Poirier,,CAN,D,,183,89,,nhl_draft_api,2020-72,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-073-luke-prokop,Luke Prokop,,CAN,D,,193,98,,nhl_draft_api,2020-73,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-074-ty-smilanic,Ty Smilanic,,USA,C,,185,79,,nhl_draft_api,2020-74,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-075-jean-luc-foudy,Jean-Luc Foudy,,CAN,C,,180,80,,nhl_draft_api,2020-75,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-076-danil-gushchin,Danil Gushchin,,RUS,LW,,173,75,,nhl_draft_api,2020-76,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-077-calle-clang,Calle Clang,,SWE,G,,188,88,,nhl_draft_api,2020-77,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-078-samuel-knazko,Samuel Knazko,,SVK,D,,183,87,,nhl_draft_api,2020-78,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-079-landon-slaggert,Landon Slaggert,,USA,LW,,180,82,,nhl_draft_api,2020-79,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-080-jake-boltmann,Jake Boltmann,,USA,D,,183,85,,nhl_draft_api,2020-80,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-081-wyatt-kaiser,Wyatt Kaiser,,USA,D,,180,78,,nhl_draft_api,2020-81,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-082-joni-jurmo,Joni Jurmo,,FIN,D,,193,87,,nhl_draft_api,2020-82,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-083-alex-laferriere,Alex Laferriere,,USA,RW,,180,78,,nhl_draft_api,2020-83,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-084-nico-daws,Nico Daws,,DEU,G,,190,90,,nhl_draft_api,2020-84,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-085-maxim-groshev,Maxim Groshev,,RUS,RW,,188,88,,nhl_draft_api,2020-85,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-086-dylan-peterson,Dylan Peterson,,USA,C,,193,87,,nhl_draft_api,2020-86,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-087-justin-sourdif,Justin Sourdif,,CAN,RW,,178,78,,nhl_draft_api,2020-87,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-088-leo-loof,Leo Loof,,SWE,D,,185,80,,nhl_draft_api,2020-88,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-089-trevor-kuntar,Trevor Kuntar,,USA,C,,180,89,,nhl_draft_api,2020-89,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-090-alexander-ljungkrantz,Alexander Ljungkrantz,,SWE,RW,,183,81,,nhl_draft_api,2020-90,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-091-jackson-hallum,Jackson Hallum,,USA,LW,,180,74,,nhl_draft_api,2020-91,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-092-oliver-tarnstrom,Oliver Tarnstrom,,SWE,C,,183,72,,nhl_draft_api,2020-92,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-093-jack-thompson,Jack Thompson,,CAN,D,,183,81,,nhl_draft_api,2020-93,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-094-zayde-wisdom,Zayde Wisdom,,CAN,RW,,178,88,,nhl_draft_api,2020-94,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-095-mike-benning,Mike Benning,,CAN,D,,173,80,,nhl_draft_api,2020-95,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-096-daniil-chechelev,Daniil Chechelev,,RUS,G,,190,85,,nhl_draft_api,2020-96,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-097-sam-stange,Sam Stange,,USA,RW,,183,91,,nhl_draft_api,2020-97,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-098-brandon-coe,Brandon Coe,,CAN,RW,,193,85,,nhl_draft_api,2020-98,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-099-jaromir-pytlik,Jaromir Pytlik,,CZE,C,,188,91,,nhl_draft_api,2020-99,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-100-carter-savoie,Carter Savoie,,CAN,LW,,175,87,,nhl_draft_api,2020-100,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-101-adam-wilsby,Adam Wilsby,,SWE,D,,183,83,,nhl_draft_api,2020-101,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-102-jack-smith,Jack Smith,,USA,C,,180,83,,nhl_draft_api,2020-102,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-103-dylan-garand,Dylan Garand,,CAN,G,,183,78,,nhl_draft_api,2020-103,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-104-thimo-nickl,Thimo Nickl,,AUT,D,,188,80,,nhl_draft_api,2020-104,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-105-zachary-uens,Zachary Uens,,CAN,D,,185,82,,nhl_draft_api,2020-105,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-106-artur-akhtyamov,Artur Akhtyamov,,RUS,G,,185,76,,nhl_draft_api,2020-106,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-107-jan-bednar,Jan Bednar,,CZE,G,,193,89,,nhl_draft_api,2020-107,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-108-lukas-svejkovsky,Lukas Svejkovsky,,USA,C,,178,75,,nhl_draft_api,2020-108,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-109-blake-biondi,Blake Biondi,,USA,C,,183,87,,nhl_draft_api,2020-109,https://api-web.nhle.com/v1/draft/picks/2020/all
